high,low,price,vol,tradeAmount,date
4.1253,3.8916,3.9953,283564.13,603755.314,20150105
4.082,3.8464,4.065,307056.85,649542.372,20150106
4.2535,3.9387,4.1932,364291.52,797330.48,20150107
4.2742,4.1178,4.1272,256253.59,570350.117,20150108
4.3929,4.0801,4.2101,314576.04,710820.38,20150109
4.3854,4.1084,4.3496,310204.43,699944.436,20150112
4.702,4.2817,4.67,449541.96,1066849.069,20150113
5.0506,4.5814,4.9696,552305.86,1422650.362,20150114
4.9922,4.6907,4.7095,492885.64,1253673.531,20150115
4.9545,4.6191,4.7736,415251.47,1061908.451,20150116
4.8603,4.4061,4.4966,446895.59,1097229.057,20150119
4.8415,4.5607,4.7981,368662.53,914931.379,20150120
4.8528,4.719,4.8151,317745.69,807760.536,20150121
5.0205,4.8151,4.8622,322122.46,842462.591,20150122
4.8622,4.6417,4.6587,300155.16,748675.986,20150123
4.734,4.5757,4.6888,171735.4,425754.73,20150126
4.7303,4.5041,4.5927,193081.43,471468.512,20150127
4.6549,4.4872,4.5852,143852.46,349197.869,20150128
4.768,4.5983,4.6266,242031.07,602484.91,20150129
4.7453,4.5701,4.6643,138999.6,343824.5,20150130
4.8622,4.6021,4.8038,259192.38,658960.018,20150202
4.8641,4.6832,4.783,206541.22,520964.076,20150203
5.2429,4.8283,5.0883,393463.22,1042569.249,20150204
5.1807,4.9753,5.0544,248581.98,670319.513,20150205
5.1411,4.7642,4.8226,219090.43,570550.595,20150206
4.7962,4.5456,4.5946,155819.08,386123.638,20150209
4.7076,4.5248,4.6794,129102.51,317079.985,20150210
4.702,4.5833,4.6643,135542.82,333953.322,20150211
4.8094,4.6492,4.7661,133979.26,337860.817,20150212
4.9847,4.8151,4.8358,183981.06,478006.252,20150213
5.0789,4.8528,5.0695,188685.21,499828.688,20150216
5.0299,4.8716,4.8867,218739.46,569711.223,20150217
4.9941,4.8433,4.9263,149597.78,391050.902,20150225
4.9338,4.8339,4.9055,119030.2,308407.938,20150226
