high,low,price,vol,tradeAmount,date
11.618,11.1206,11.5706,39179.15,75612.1137,20150105
11.8608,11.4285,11.8075,43744.35,86319.6887,20150106
11.8193,11.6062,11.6891,21463.61,42379.4764,20150107
11.772,11.6417,11.6654,20798.03,41118.2689,20150108
11.8252,11.6062,11.6358,25892.61,51438.9311,20150109
11.7838,11.4167,11.5055,21865.58,42757.2908,20150112
11.8312,11.4522,11.8075,23457.66,46391.2813,20150113
11.9614,11.7246,11.843,24272.64,48655.5322,20150114
11.9259,11.7305,11.772,14787.83,29530.3854,20150115
12.0562,11.7779,12.0562,23489.23,47271.647,20150116
12.1924,11.5825,11.6891,28207.37,56653.0165,20150119
11.9792,11.7305,11.9792,23621.6,47498.4727,20150120
12.2457,11.9614,12.2101,30970.44,63363.064,20150121
12.3641,12.145,12.2575,22484.46,46542.9831,20150122
12.3345,12.0917,12.145,20615.9,42497.2226,20150123
12.3641,12.0858,12.3641,17814.73,36963.1433,20150126
12.6424,12.293,12.595,30162.48,63357.1369,20150127
12.6365,12.3996,12.5181,19778.74,41820.5194,20150128
12.6069,12.299,12.3167,20739.76,43597.8536,20150129
12.4352,12.145,12.293,17406.2,36066.0287,20150130
12.4233,12.0917,12.1569,25135.78,52109.7354,20150202
12.3759,12.1391,12.2634,16052.52,33183.8299,20150203
12.299,11.9022,11.92,25220.99,51524.8334,20150204
12.0325,11.8252,11.8963,18429.8,37084.1305,20150205
11.9437,11.8193,11.8312,16777.32,33661.0127,20150206
11.9022,11.5529,11.5943,14938.75,29575.4236,20150209
11.9555,11.5943,11.9437,14134.39,28131.1865,20150210
11.9614,11.7897,11.9437,11684.14,23437.6441,20150211
12.7608,11.9141,12.524,36883.76,77115.7948,20150212
12.9563,12.5714,12.6898,52316.46,112997.2317,20150213
12.8082,12.5477,12.7312,26481.64,56608.2474,20150216
12.7608,12.5477,12.5891,17479.96,37281.5044,20150217
12.6543,12.1509,12.3641,21948.94,45867.5149,20150225
12.6069,12.293,12.5773,20332.0,42838.1132,20150226
12.7253,12.4648,12.5832,16098.31,34244.4799,20150227
12.7905,12.5714,12.7905,27688.15,59250.4719,20150302
12.7431,12.4944,12.5121,22222.48,47288.1283,20150303
12.6187,12.447,12.6069,19677.67,41621.6987,20150304
12.7905,12.5891,12.7312,23440.62,50247.4052,20150305
13.2938,12.7668,13.2227,62614.38,137988.9807,20150306
13.3648,12.974,13.205,33228.29,74013.5879,20150309
13.7379,13.0392,13.5603,41579.26,94733.8017,20150310
13.6787,13.2227,13.4181,28232.47,63999.4822,20150311
13.7734,13.2464,13.501,25262.85,57578.1864,20150312
14.2116,13.501,14.0932,43969.02,103779.7544,20150313
14.2412,13.9333,14.1287,28857.04,68624.5431,20150316
14.1939,13.8386,13.9096,40530.79,95645.1823,20150317
14.94,13.9215,14.8334,43906.47,107038.3632,20150318
14.7978,14.3419,14.5728,33012.38,81221.8171,20150319
15.2538,14.5373,14.6913,41123.25,104004.5222,20150320
