high,low,price,vol,tradeAmount,date
9.6567,9.2845,9.5708,2307796.87,2299156.048,20150105
9.4945,9.17,9.3036,1924369.85,1877070.057,20150106
9.504,9.2368,9.399,1729773.64,1698080.562,20150107
9.399,8.9315,8.9506,1568546.59,1491317.395,20150108
9.1414,8.6834,8.7883,1818638.82,1696777.751,20150109
8.6834,8.3685,8.4734,1283745.25,1142289.782,20150112
8.5402,8.3589,8.483,865742.08,765826.883,20150113
8.5212,8.2444,8.3112,741108.28,652070.777,20150114
8.6261,8.2254,8.6166,1240901.71,1096127.263,20150115
8.7215,8.4925,8.588,1131758.47,1020745.955,20150116
8.2921,7.7292,7.7292,1689090.14,1408473.363,20150119
7.9009,7.6337,7.796,1286773.51,1049477.616,20150120
8.1204,7.7769,8.1013,1520864.09,1270049.248,20150121
8.3303,8.0154,8.2635,1466636.76,1255564.708,20150122
8.2921,8.0345,8.0918,1149802.98,983815.024,20150123
8.2254,8.025,8.2063,920992.06,787258.383,20150126
8.3971,8.1299,8.3303,1505637.04,1304706.507,20150127
8.2921,8.1299,8.1681,962098.08,826819.97,20150128
8.0727,7.8246,7.9486,1072520.16,893071.703,20150129
8.0154,7.7101,7.7673,974725.62,799329.256,20150130
7.691,7.5001,7.5097,898296.07,713902.795,20150202
7.7005,7.4906,7.691,864314.53,685745.045,20150203
7.7196,7.5765,7.586,725704.76,581288.43,20150204
7.8437,7.5288,7.5383,1326271.95,1073138.864,20150205
7.6051,7.3475,7.4906,947872.87,741708.133,20150206
7.586,7.3952,7.5192,505096.65,397345.948,20150209
7.796,7.5192,7.7482,1101563.86,889752.974,20150210
7.8246,7.691,7.7387,510262.02,414322.024,20150211
7.8246,7.6051,7.7864,775782.43,628560.119,20150212
7.9105,7.7673,7.796,1220004.45,1002096.925,20150213
7.8532,7.7673,7.8055,712992.32,582775.594,20150216
7.8341,7.7864,7.8246,635312.91,519754.697,20150217
7.8437,7.6528,7.7292,641721.87,520048.871,20150225
8.2444,7.6719,8.2349,2170660.03,1829829.945,20150226
8.2349,8.0631,8.1299,1281891.97,1093745.316,20150227
8.378,8.0345,8.2254,1434644.77,1237837.649,20150302
8.1872,7.9963,8.0059,1106427.27,936002.685,20150303
8.0631,7.8818,8.0059,903309.23,755353.955,20150304
7.9963,7.8437,7.92,812309.14,673553.293,20150305
8.0059,7.8818,7.9582,604472.24,504148.774,20150306
8.1108,7.7769,8.1013,1015385.82,847193.075,20150309
8.1299,8.0059,8.025,709535.42,599661.986,20150310
8.1108,7.9677,7.9963,688786.24,580831.54,20150311
