high,low,price,vol,tradeAmount,date
22.314,21.1869,22.0477,82466.55,379662.923,20150105
23.5267,21.7148,23.5125,120845.83,575665.541,20150106
23.4411,22.6136,22.7373,68439.46,330776.073,20150107
22.9703,21.6387,21.7148,65329.78,302097.212,20150108
22.5899,21.6149,21.6577,54746.91,255216.474,20150109
22.3711,21.4295,22.0667,46541.84,214108.138,20150112
22.5899,22.0429,22.1999,39020.34,183502.251,20150113
22.5899,21.6387,21.9098,24792.05,114852.408,20150114
22.062,21.5912,21.9193,30121.88,138422.789,20150115
22.0762,21.7243,21.8813,41609.49,191439.614,20150116
21.6197,20.4403,20.8255,57787.3,255996.848,20150119
21.496,20.4593,21.4913,49474.7,220634.49,20150120
22.5899,21.282,22.3188,54099.13,249819.029,20150121
22.6327,21.9288,22.1143,45311.98,211778.114,20150122
22.8181,22.2332,22.7278,68636.86,325257.565,20150123
23.0654,22.4044,22.6136,48880.19,232562.942,20150126
22.7611,22.0572,22.2474,44945.69,210592.426,20150127
22.257,21.5959,21.7956,42313.86,195063.148,20150128
21.9954,21.496,21.8194,28726.75,131673.936,20150129
22.062,21.3058,21.9098,41683.97,190792.98,20150130
22.3663,21.458,21.9716,37979.51,176332.82,20150202
22.3901,21.8765,22.2237,25852.78,120769.019,20150203
23.9928,22.7325,23.308,117809.12,579868.058,20150204
23.3983,22.5756,22.6469,41724.79,201670.206,20150205
23.0179,22.1618,22.3283,45981.1,217117.02,20150206
22.8039,22.1143,22.1523,36356.81,171698.337,20150209
22.49,21.9003,22.3521,24907.96,116909.989,20150210
22.9703,22.3996,22.7278,23263.52,111291.787,20150211
22.8752,22.5233,22.8229,19827.63,94646.492,20150212
23.2937,22.8324,22.9703,36061.26,174974.561,20150213
23.7693,22.8276,23.6932,74482.75,369071.161,20150216
23.8739,23.308,23.7217,60891.46,302338.666,20150217
24.8156,23.4982,23.8454,92417.83,468428.464,20150225
24.321,23.6266,23.8739,70138.1,352966.046,20150226
24.2021,23.7788,23.9928,58005.17,292867.674,20150227
24.3352,23.5505,23.912,86020.22,431319.502,20150302
24.0118,23.4174,23.5553,131492.89,651590.173,20150303
24.2639,23.541,24.2544,77318.77,387654.437,20150304
24.2544,23.6266,23.9262,69871.67,349759.096,20150305
24.1545,23.6742,23.8977,56408.78,283418.861,20150306
23.9262,23.5886,23.8216,44254.86,221594.954,20150309
24.0118,23.5886,23.6837,35397.74,176170.245,20150310
24.1545,23.6837,23.9072,33855.14,170178.878,20150311
24.8393,23.8549,24.2877,53070.08,272756.495,20150312
24.573,24.0166,24.4256,27374.28,139747.068,20150313
26.87,26.87,26.87,7413.83,41888.14,20150604
29.5571,29.5571,29.5571,4573.33,28423.246,20150605
32.5151,32.5151,32.5151,5620.0,38423.94,20150608
33.7659,30.7507,32.1347,364515.54,2475597.151,20150609
