high,low,price,vol,tradeAmount,date
8.49,7.1979,8.49,93.01,310.5414,20151210
9.3387,9.3387,9.3387,43.0,158.498,20151211
10.2736,10.2736,10.2736,40.0,162.2,20151214
11.3023,11.3023,11.3023,19.0,84.759,20151215
12.4322,12.4322,12.4322,32.0,157.024,20151216
13.6762,13.6762,13.6762,45.0,242.91,20151217
15.0443,15.0443,15.0443,51.0,302.838,20151218
16.5493,16.5493,16.5493,66.0,431.112,20151221
18.2037,18.2037,18.2037,175.0,1257.375,20151222
20.0253,20.0253,20.0253,156.0,1233.024,20151223
22.0269,22.0269,22.0269,316.0,2747.304,20151224
24.2285,24.2285,24.2285,267.5,2558.1025,20151225
26.6506,26.6506,26.6506,433.75,4562.6163,20151228
29.3159,29.3159,29.3159,303.08,3506.9387,20151229
32.2473,32.2473,32.2473,1020.35,12987.0148,20151230
35.4725,35.4725,35.4725,3199.49,44796.0595,20151231
39.0195,39.0195,39.0195,4083.25,62886.1333,20160104
42.9212,42.9212,42.9212,5531.06,93701.6875,20160105
47.2131,47.2131,47.2131,1789.2,33341.742,20160106
51.9356,51.9356,51.9356,10725.46,219861.2045,20160107
57.1295,54.4718,57.1295,140633.82,3136575.0931,20160108
58.2214,51.4163,51.4163,103629.65,2248737.8525,20160111
55.5308,46.2757,48.5432,97576.4,1871133.7681,20160112
53.3975,46.2757,50.1647,104594.46,2075177.1918,20160113
51.3681,45.6043,51.1781,81167.4,1563911.8496,20160114
55.9919,50.1672,50.1672,72893.54,1534045.3811,20160115
55.1051,45.8576,54.1931,71573.3,1432239.2357,20160118
59.2349,51.9914,57.2637,80099.76,1740247.9848,20160119
57.2283,51.5379,51.5379,80195.89,1697381.3981,20160120
51.5531,46.3846,46.3846,63761.25,1232946.0642,20160121
48.3532,44.0664,46.491,58257.71,1062423.3188,20160122
49.0246,45.4041,46.8736,46482.19,864550.8902,20160125
45.3509,42.1865,42.1865,38989.96,674135.6431,20160126
42.5893,39.4097,40.8918,46451.29,746645.2344,20160127
41.2972,36.8026,36.8052,41440.08,638251.8683,20160128
40.4763,37.5095,39.4603,43431.39,669172.75,20160129
39.6478,36.23,37.8262,37040.97,560076.1075,20160201
41.6088,37.5044,41.0438,45228.43,727119.1347,20160202
42.9972,39.8531,42.9415,36600.93,600909.0727,20160203
46.8128,43.324,44.9025,33494.03,594577.4238,20160204
45.4522,42.0649,42.7388,27245.96,468244.4758,20160205
42.3106,40.1571,41.624,26440.33,427744.9438,20160215
45.7867,41.5505,45.7867,41369.73,733565.9409,20160216
47.2713,44.9202,46.8685,36979.98,669081.477,20160217
48.1353,45.1051,47.3752,35875.53,661739.8718,20160218
52.113,47.963,52.113,38478.41,762115.9379,20160219
55.7309,51.2795,52.1662,45384.74,954925.0088,20160222
57.1447,51.7228,54.2184,44428.02,957496.4663,20160223
54.4692,49.1513,50.5954,53984.5,1101755.4018,20160224
51.4771,45.6347,46.111,42093.85,807084.5727,20160225
49.2146,45.6676,48.0238,38154.6,714019.6646,20160226
47.1244,43.2227,43.2227,9378.26,163858.5182,20160229
43.3215,38.9004,41.8039,57413.72,907855.7908,20160301
43.7978,40.7601,43.4051,43679.99,732505.1385,20160302
45.1102,41.8875,41.9306,41400.09,711630.5869,20160303
41.1325,37.7375,37.7375,45903.59,707499.0781,20160304
41.5125,38.7763,40.3851,41297.23,661074.5281,20160307
