high,low,price,vol,tradeAmount,date
12.2627,11.0526,12.0054,460874.74,1123567.585,20150105
13.0154,11.7053,12.639,436155.69,1130591.56,20150106
13.1011,12.5294,12.8677,370712.08,997518.465,20150107
13.3393,12.7105,13.0916,318715.89,876956.796,20150108
13.83,12.8058,13.2107,383255.35,1084233.718,20150109
14.0539,12.9582,13.8396,328456.55,947482.531,20150112
15.2259,13.7633,15.2259,484699.72,1522282.8,20150113
15.95,14.9162,15.3688,450300.96,1460671.431,20150114
16.2787,15.0067,16.2502,341403.55,1138067.807,20150115
17.8747,15.9596,17.8747,301731.79,1092254.984,20150116
19.2944,17.0029,17.4507,679715.56,2575268.13,20150119
18.7608,17.1077,18.2701,537732.48,2044184.518,20150120
18.5703,17.4459,18.2511,446404.68,1672860.249,20150121
18.2415,17.3173,17.5412,498870.44,1845538.504,20150122
17.7318,16.2787,16.4121,554898.94,1963683.501,20150123
17.4507,16.4217,17.3983,425293.15,1518384.581,20150126
17.8509,16.6551,16.9219,361238.62,1300001.197,20150127
17.5317,16.536,16.9171,334349.37,1204099.375,20150128
17.6651,16.5551,17.627,356674.47,1293176.562,20150129
18.1748,15.9596,16.2168,424959.96,1519582.777,20150130
17.4745,16.0167,16.9695,347476.67,1235455.754,20150202
18.6655,16.6885,18.1891,632420.08,2400021.603,20150203
19.9137,18.0033,19.7708,569314.71,2265555.581,20150204
20.7617,19.0085,19.3849,518836.63,2167907.262,20150205
19.747,17.8747,17.9176,338820.1,1314471.97,20150206
19.0514,17.7365,18.2177,270573.48,1046356.064,20150209
19.0324,17.3888,18.8037,334116.9,1272022.292,20150210
19.7708,18.6322,19.0181,366459.97,1476734.318,20150211
19.4135,17.9938,18.5607,469316.17,1817896.548,20150212
18.9228,18.1224,18.4893,345845.66,1344402.836,20150213
20.3377,18.1081,20.3377,587935.91,2415376.347,20150216
20.4616,19.2944,19.5135,414902.01,1705101.884,20150217
19.847,18.7132,18.8132,278230.02,1113355.695,20150225
19.1991,18.394,19.0038,237427.49,935895.596,20150226
19.4325,18.494,18.9752,262721.44,1040646.093,20150227
19.7708,18.3845,19.3754,486705.9,1936085.07,20150302
19.2801,18.4845,18.5845,385390.12,1525079.855,20150303
18.4845,18.0081,18.1891,351735.3,1344313.392,20150304
18.1034,17.3173,17.5365,445793.2,1646174.079,20150305
18.1987,17.1506,17.708,310080.96,1159884.152,20150306
19.1181,17.7365,18.8085,550672.75,2146212.886,20150309
18.8942,18.3892,18.5703,273438.73,1068308.662,20150310
18.6036,17.9605,18.0319,259273.31,985372.562,20150311
18.332,17.5222,17.8604,240086.49,896227.856,20150312
18.818,17.8699,18.4893,322431.1,1241582.244,20150313
20.2091,18.5226,19.8518,603815.53,2440697.076,20150316
20.009,19.1419,19.3706,469965.88,1914173.872,20150317
19.604,18.8085,19.3897,414409.03,1667950.621,20150318
19.5802,18.9371,19.1086,302302.2,1217136.839,20150319
20.6426,19.2229,19.7327,628883.1,2632901.388,20150320
20.5807,19.4945,20.3996,562774.54,2371927.588,20150323
22.4387,20.0805,22.4387,701448.92,3183196.966,20150324
24.6825,23.2009,23.8679,991536.67,5064343.216,20150325
24.3681,21.8527,22.3767,696816.4,3361952.999,20150326
23.4867,21.4382,22.0814,620031.88,2910298.942,20150327
22.2481,21.0094,21.6002,539092.76,2426889.657,20150330
22.4672,21.3953,21.7479,478369.22,2209017.604,20150331
22.5339,21.7479,22.2195,355103.49,1648525.793,20150401
22.572,21.6812,22.0528,374321.63,1724696.512,20150402
21.9098,21.3286,21.6049,369447.72,1666600.287,20150403
22.1528,21.0904,21.9289,465389.9,2117286.78,20150407
21.9289,20.9618,21.1952,452150.65,2022294.362,20150408
21.1524,19.8518,20.8046,410825.35,1769043.05,20150409
21.6145,20.8951,21.3096,335253.03,1501894.438,20150410
22.7674,21.5335,22.3148,572734.04,2675726.803,20150413
22.31,21.3906,21.5621,410729.04,1873310.494,20150414
21.4382,20.1948,20.2424,364843.37,1583578.74,20150415
20.8951,19.5374,20.3377,282951.07,1205456.097,20150416
20.7712,20.1472,20.3282,258287.46,1107362.1,20150417
20.6521,19.7232,20.5187,332912.62,1415738.151,20150420
21.786,20.4854,21.7526,470816.25,2107710.838,20150421
22.7102,21.7145,21.8432,484516.19,2250149.455,20150422
21.9098,21.2572,21.4477,300345.11,1355839.246,20150423
23.0199,21.1047,22.9294,650355.62,3055684.201,20150424
24.0584,22.3958,22.4768,549706.62,2662173.636,20150427
22.4482,21.2286,21.5573,304754.65,1384181.994,20150428
22.3672,21.2524,22.129,257518.92,1185993.585,20150429
24.3442,22.3246,23.8379,401838.88,1653446.187,20150430
23.1877,21.9507,22.6526,396749.46,1559020.867,20150504
22.4973,21.0013,21.03,331592.92,1253935.993,20150505
23.1359,21.1854,22.1808,600001.18,2330178.717,20150506
22.923,21.663,22.1866,375900.08,1462702.469,20150507
24.4075,22.3822,24.4075,921784.73,3818398.853,20150508
26.4674,23.8552,25.7942,984364.26,4268321.653,20150511
28.2971,25.3224,27.7792,773124.5,3587610.547,20150512
27.7735,26.4674,26.6515,506557.83,2384462.835,20150513
