high,low,price,vol,tradeAmount,date
16.1862,15.6822,16.1377,192440.66,317401.684,20150105
16.758,15.8954,16.7483,260582.84,442297.574,20150106
16.8646,16.4382,16.6902,179081.8,307243.127,20150107
16.6611,16.2928,16.3897,105534.91,179136.345,20150108
16.5642,15.9923,16.002,137796.84,232434.828,20150109
15.9632,15.6046,15.7985,95099.47,154943.859,20150112
16.1086,15.8178,16.0117,71419.89,117885.37,20150113
16.1377,15.8566,15.8954,42877.4,70500.056,20150114
16.1571,15.8857,16.1086,77149.07,127832.792,20150115
16.6708,16.0698,16.5835,136308.28,230108.469,20150116
16.8162,15.8954,16.3025,208184.38,354528.222,20150119
16.7192,16.3122,16.7095,188990.22,323292.125,20150120
17.4171,16.6708,17.3105,356473.49,627728.074,20150121
17.7175,17.2814,17.4655,307063.78,553885.377,20150122
17.6109,17.1069,17.1554,208551.69,373469.62,20150123
17.64,17.0585,17.514,177761.87,318123.747,20150126
17.7563,17.1069,17.262,201956.69,362400.556,20150127
17.4462,17.0682,17.2038,128764.02,229642.311,20150128
17.1069,16.758,16.8258,109273.79,190389.004,20150129
16.9228,16.6223,16.6998,91318.28,157692.644,20150130
17.1166,16.4769,16.9131,113727.1,198762.625,20150202
17.1942,16.884,17.1845,100032.71,176331.413,20150203
17.2523,16.9906,17.01,115267.43,203604.233,20150204
17.1554,16.5932,16.6223,113247.6,197700.515,20150205
16.7968,16.0892,16.2734,99302.85,168811.838,20150206
16.3412,16.002,16.1183,76659.25,127739.803,20150209
16.2831,15.9438,16.2152,103365.39,171973.788,20150210
16.6998,16.1862,16.6902,101937.75,172783.433,20150211
16.7386,16.4963,16.5835,94750.24,162123.081,20150212
16.9615,16.6417,16.8646,114996.37,199717.37,20150213
17.3105,16.8452,17.1942,138412.87,244389.236,20150216
17.3395,16.9422,17.0294,126318.38,221908.147,20150217
17.1166,16.6998,16.8065,128931.31,224715.743,20150225
16.9034,16.6805,16.8743,127976.81,222002.313,20150226
17.0197,16.7774,16.8937,160807.91,280179.622,20150227
17.5431,16.8452,17.4946,313813.58,557588.096,20150302
17.9114,17.1845,17.5528,350940.31,636500.125,20150303
18.1634,17.2814,17.9114,273913.32,501997.344,20150304
18.1149,17.6303,17.9986,214070.34,394233.866,20150305
18.2894,17.6303,17.64,163926.48,301656.215,20150306
17.7757,17.1166,17.6885,136704.12,246485.444,20150309
18.018,17.5722,17.9986,205974.06,378207.278,20150310
18.8515,17.8145,18.6286,318238.79,606171.974,20150311
18.7643,18.2312,18.5123,206387.59,393581.327,20150312
18.6092,18.3185,18.5026,150171.87,285919.401,20150313
19.152,18.6577,18.9678,239224.5,466093.258,20150316
19.4331,18.8031,19.026,271077.99,535185.131,20150317
20.1503,18.7934,19.8498,301584.44,601040.732,20150318
19.8983,19.2392,19.5591,203877.82,411041.731,20150319
19.8111,19.3846,19.7626,191792.04,387741.66,20150320
21.7398,20.7706,21.7398,395716.2,877583.33,20150323
23.9109,22.2148,23.0289,1000153.95,2391834.197,20150324
25.1709,22.4958,24.1726,747784.92,1824257.769,20150325
23.7655,22.3117,22.5443,429951.43,1019509.639,20150326
23.7655,22.5831,22.8835,358884.45,859623.439,20150327
23.4554,22.7769,23.2228,322792.8,772250.685,20150330
24.5409,23.2131,23.5911,369418.64,906756.547,20150331
24.7832,23.5523,24.5118,376025.37,935393.803,20150401
24.7154,23.7752,24.2114,268707.9,670786.906,20150402
24.822,23.6783,24.696,316694.36,789596.337,20150403
24.9674,24.0369,24.8414,338098.5,853268.136,20150407
24.9771,23.7268,24.0078,283027.94,709070.348,20150408
