high,low,price,vol,tradeAmount,date
21.14,17.62,21.14,522.02,1098.87,20190712
23.25,23.25,23.25,164.67,382.857,20190715
25.58,25.58,25.58,258.14,660.322,20190716
28.14,28.14,28.14,575.0,1618.05,20190717
30.95,30.95,30.95,1870.28,5788.516,20190718
34.05,34.05,34.05,2328.49,7928.508,20190719
37.46,37.46,37.46,7179.76,26895.38,20190722
41.21,41.21,41.21,15581.44,64211.114,20190723
45.33,45.33,45.33,8553.92,38774.919,20190724
49.86,49.86,49.86,3510.36,17502.654,20190725
54.85,52.68,54.85,241236.77,1306991.548,20190726
53.6,51.36,52.9,229885.18,1207093.267,20190729
54.05,50.86,53.6,214407.42,1118194.528,20190730
52.45,48.8,49.36,176252.99,896082.92,20190731
50.85,47.69,50.1,129942.69,640228.646,20190801
49.37,47.03,48.07,116107.02,560140.261,20190802
48.85,45.67,45.9,111747.17,526987.898,20190805
44.77,41.4,43.67,118752.59,515403.418,20190806
44.16,41.89,41.89,78683.38,337524.022,20190807
42.98,41.14,42.27,76755.8,323490.011,20190808
42.58,39.73,39.9,86177.15,353532.855,20190809
41.55,39.1,41.06,74584.3,303360.708,20190812
42.77,39.75,42.41,85230.54,351518.14,20190813
43.21,41.66,41.72,63998.32,271252.687,20190814
42.66,39.8,42.33,59306.06,244346.421,20190815
44.58,41.89,43.08,85688.49,374183.751,20190816
43.99,42.71,43.61,65897.67,286045.997,20190819
44.58,42.61,44.17,69716.95,303897.784,20190820
44.18,42.66,42.68,51064.25,220758.221,20190821
43.12,41.8,41.82,43023.44,182775.651,20190822
45.44,41.55,43.84,79877.33,348232.498,20190823
47.5,42.71,46.27,102368.29,464589.568,20190826
47.09,45.51,46.45,78709.65,364661.176,20190827
51.1,46.6,51.1,116897.22,567813.743,20190828
51.0,48.3,48.64,90183.19,445572.785,20190829
49.88,46.7,48.89,76723.62,369414.186,20190830
52.53,47.87,51.72,94386.41,475032.77,20190902
53.87,50.66,52.7,87617.81,459035.38,20190903
53.68,51.8,52.32,56468.39,297259.875,20190904
53.2,51.87,52.88,58445.19,306674.12,20190905
53.45,51.13,52.1,49342.03,257845.46,20190906
57.2,51.81,56.19,69194.81,376088.378,20190909
59.88,55.35,58.16,72912.71,421928.21,20190910
58.8,56.58,57.81,46769.42,268744.539,20190911
63.0,57.5,61.96,77911.12,472594.782,20190912
63.82,61.01,62.81,58054.93,360780.002,20190916
66.58,61.68,64.76,78280.9,503148.867,20190917
71.24,63.8,69.12,99414.38,681291.224,20190918
76.03,67.82,76.03,113890.76,830888.16,20190919
78.24,68.43,68.43,155903.81,1123181.457,20190920
66.48,63.13,63.82,107372.95,689995.314,20190923
70.2,64.03,70.2,116736.52,782768.779,20190924
76.99,69.3,75.77,120810.25,888729.709,20190925
81.5,68.19,71.01,138432.05,1000773.825,20190926
71.51,66.46,67.37,75242.74,515418.689,20190927
70.85,67.2,67.79,59169.17,408288.115,20190930
69.38,64.5,64.66,65817.39,437028.246,20191008
64.98,60.8,64.54,53706.94,339118.952,20191009
70.38,64.16,70.35,78636.52,533852.928,20191010
71.48,68.41,68.6,55426.08,386481.581,20191011
72.66,69.3,71.6,65056.83,463252.329,20191014
69.28,65.1,66.75,92963.07,621389.353,20191015
68.2,65.08,66.5,52401.55,349056.369,20191016
67.29,64.0,64.6,52517.35,341488.575,20191017
67.28,62.65,65.11,62050.4,406175.428,20191018
65.86,61.2,61.76,50116.03,314019.27,20191021
64.2,62.11,63.18,36584.81,230942.612,20191022
64.66,62.8,63.35,34514.49,219831.676,20191023
64.46,59.02,64.31,62163.92,384288.668,20191024
66.34,63.15,65.38,59203.73,385518.337,20191025
65.4,62.08,64.64,40334.65,258787.136,20191028
67.67,63.5,64.9,59022.86,390080.227,20191029
71.21,63.0,69.44,92771.11,631403.718,20191030
70.77,67.48,70.31,70273.47,488126.746,20191031
70.22,67.39,69.2,57009.39,391636.109,20191101
70.69,68.52,69.22,53273.77,370145.513,20191104
69.48,66.68,67.01,60162.99,405949.346,20191105
66.87,63.24,63.34,61282.34,395372.729,20191106
64.88,62.8,63.86,28141.91,179967.27,20191107
64.74,63.15,63.93,30369.28,194251.435,20191108
64.2,61.49,63.1,31563.39,198016.465,20191111
64.22,62.58,63.33,23956.05,151662.318,20191112
63.48,61.3,61.59,30075.86,185980.508,20191113
63.23,60.59,62.64,37882.04,235613.14,20191114
62.76,61.5,61.67,20545.72,127331.732,20191115
62.2,61.12,61.9,13891.9,85928.446,20191118
63.6,61.9,62.99,27204.39,170924.424,20191119
63.75,62.35,62.58,20732.93,130389.2,20191120
62.26,59.0,59.05,45837.09,275654.233,20191121
59.94,56.0,56.53,44211.82,253652.703,20191122
57.77,53.5,57.38,40709.41,225644.552,20191125
57.9,56.73,57.3,14856.16,85002.336,20191126
57.68,56.34,56.77,13017.07,74166.743,20191127
57.42,56.6,56.8,9838.49,55970.319,20191128
56.95,54.5,55.09,15913.74,88066.154,20191129
55.28,53.85,53.89,15713.04,85367.168,20191202
58.84,52.4,57.29,33904.29,188864.036,20191203
57.25,55.91,56.22,18354.08,103349.788,20191204
57.85,56.0,57.21,18921.34,108358.142,20191205
58.09,56.85,58.01,17733.0,102126.879,20191206
61.78,57.71,60.64,32018.52,193014.331,20191209
