high,low,price,vol,tradeAmount,date
40.3344,37.0468,39.5101,192148.92,749732.271,20150105
40.6779,38.3226,39.5788,138890.67,562214.832,20150106
39.5002,38.1754,38.2146,111673.98,438781.1853,20150107
38.4698,37.6651,37.7927,68917.85,266454.782,20150108
38.7642,37.6356,37.724,85150.94,331242.7503,20150109
39.5788,37.7632,38.7446,113488.54,447585.4869,20150112
40.1283,38.7642,39.5689,133270.85,539057.9554,20150113
39.9419,38.2735,38.7446,69894.17,277811.4309,20150114
39.1371,37.8614,38.352,59575.5,232630.8323,20150115
38.9409,38.0674,38.8329,72732.3,285132.3766,20150116
39.6769,37.0861,37.5964,108004.47,421254.5438,20150119
38.617,37.5669,38.2245,87504.57,340120.9157,20150120
39.039,38.2245,38.7446,92543.67,364431.9169,20150121
39.2058,38.4698,39.0684,95294.65,377569.7895,20150122
40.197,39.1371,39.3629,141481.46,571837.1483,20150123
40.04,38.8231,39.353,95294.17,381414.5422,20150126
39.6475,38.8624,39.2549,106373.39,426213.9054,20150127
40.1381,39.1371,39.6475,108933.55,440078.8862,20150128
39.8339,38.6857,39.0194,92448.37,368366.4621,20150129
39.2353,37.5375,37.5473,101893.46,395335.1137,20150130
38.1852,36.8015,37.7534,52506.15,201662.5361,20150202
38.5679,37.8908,38.0086,58742.92,227921.7815,20150203
38.617,37.2922,37.5571,91584.83,354400.0123,20150204
37.8025,36.9977,37.0272,69629.99,265432.0735,20150205
37.4099,35.2411,35.5551,109645.33,401582.8677,20150206
35.9084,35.3589,35.5551,48008.13,174416.4985,20150209
36.6248,35.4374,36.4482,59569.94,218138.6927,20150210
36.6445,35.7808,35.928,71370.68,263054.407,20150211
37.2627,35.771,37.1744,102848.68,382626.2546,20150212
40.8938,37.351,40.8938,369387.35,1494306.0003,20150213
44.9861,42.7682,44.9861,377527.51,1698779.3094,20150216
49.4808,44.9861,49.4808,350387.93,1740619.7564,20150217
51.5711,48.4504,48.9607,508310.85,2570060.777,20150225
49.8537,47.3709,48.362,330742.8,1637213.887,20150226
49.8537,47.204,49.6378,368404.14,1824774.3689,20150227
54.6036,50.3444,50.8155,502599.46,2681467.5406,20150302
53.6615,49.5888,50.4033,328627.01,1711219.8574,20150303
52.8764,49.4219,51.0216,298976.65,1568522.4871,20150304
56.1247,50.4327,56.1247,372516.21,2028158.4187,20150305
58.4898,50.8351,51.3258,514540.68,2803548.2345,20150306
51.0314,48.1658,50.2463,259237.01,1312632.1083,20150309
51.895,49.7556,50.2463,215636.0,1121268.4164,20150310
50.5407,48.6565,49.0686,188309.45,949154.7186,20150311
49.6378,47.4003,48.205,193814.82,951119.6958,20150312
49.4121,47.891,49.049,175096.17,868710.1122,20150313
50.5309,49.0784,50.1874,201114.94,1022957.561,20150316
