high,low,price,vol,tradeAmount,date
4.98,4.15,4.98,2634.71,1310.841,20190705
5.48,5.48,5.48,1839.56,1008.079,20190708
6.03,6.03,6.03,2143.79,1292.705,20190709
6.63,6.63,6.63,5273.42,3496.277,20190710
7.29,7.29,7.29,10041.54,7320.283,20190711
8.02,8.02,8.02,21212.8,17012.666,20190712
8.82,8.82,8.82,20143.61,17766.664,20190715
9.7,9.7,9.7,15877.59,15401.262,20190716
10.67,10.67,10.67,14119.08,15065.058,20190717
11.74,11.74,11.74,98259.6,115356.77,20190718
12.91,12.91,12.91,186870.19,241249.415,20190719
14.19,13.15,13.86,2811811.35,3821006.813,20190722
13.75,13.01,13.63,1577900.92,2102875.591,20190723
14.68,13.42,13.55,2073663.92,2899761.628,20190724
14.49,13.13,14.35,1913600.39,2637912.073,20190725
14.12,13.69,13.89,1221879.79,1700075.853,20190726
14.11,13.61,13.95,855774.47,1187201.459,20190729
14.88,13.91,14.0,1624275.01,2326119.697,20190730
14.16,13.72,14.01,988177.89,1379191.517,20190731
14.07,13.22,13.52,1227294.21,1674005.1,20190801
13.75,13.06,13.75,1058184.0,1419375.283,20190802
14.14,13.61,14.1,1271598.22,1768254.379,20190805
15.51,13.84,14.84,2037457.71,2987323.592,20190806
15.24,14.51,14.93,1433993.23,2129326.572,20190807
16.2,14.54,14.65,1706117.94,2633502.344,20190808
14.93,13.9,14.05,1201909.16,1715910.812,20190809
14.68,13.9,14.6,1073238.66,1531747.362,20190812
14.28,13.97,14.09,763066.85,1076216.375,20190813
14.47,13.94,13.96,735449.31,1042795.967,20190814
14.13,13.26,13.96,741617.22,1013840.675,20190815
15.2,13.82,14.73,1532155.75,2244221.0,20190816
16.2,14.58,16.0,1882785.26,2892867.855,20190819
16.09,15.11,15.13,1390778.8,2163854.408,20190820
15.33,14.84,15.23,800483.78,1209268.26,20190821
15.25,14.77,14.98,560120.02,839591.134,20190822
15.4,14.82,14.97,641239.43,968362.285,20190823
15.53,14.53,15.5,937741.22,1417403.953,20190826
16.4,15.31,15.44,1199770.86,1883664.078,20190827
16.08,15.01,15.84,1065346.46,1657969.419,20190828
16.44,15.57,15.62,1080434.42,1721449.345,20190829
16.3,15.6,16.01,1151993.4,1838966.801,20190830
17.5,15.8,17.13,1455169.74,2410168.632,20190902
17.38,16.62,17.14,1056767.24,1787984.256,20190903
18.35,16.9,17.72,1293119.32,2278412.566,20190904
19.49,17.95,18.18,1566343.52,2924146.497,20190905
18.47,17.71,18.44,972886.51,1759500.69,20190906
19.06,18.11,18.8,1045725.71,1944743.453,20190909
19.79,18.45,19.37,1158259.6,2212428.766,20190910
19.76,19.0,19.07,863822.88,1669859.018,20190911
19.24,18.4,18.96,795188.39,1495881.332,20190912
18.96,18.45,18.91,527155.71,987551.99,20190916
18.94,17.31,17.53,882169.91,1599866.631,20190917
17.67,17.15,17.28,538667.4,934591.934,20190918
17.83,17.3,17.78,595412.77,1046016.826,20190919
17.89,17.42,17.66,465569.22,823329.436,20190920
