high,low,price,vol,tradeAmount,date
20.389,16.9873,20.389,188.27,542.301,20180528
22.4257,22.4257,22.4257,93.01,294.935,20180529
24.6676,24.6676,24.6676,151.78,529.409,20180530
27.1358,27.1358,27.1358,258.0,989.946,20180531
29.8515,29.8515,29.8515,846.81,3574.385,20180601
32.8359,32.8359,32.8359,688.68,3197.541,20180604
36.1174,36.1174,36.1174,795.01,4060.116,20180605
39.7313,39.7313,39.7313,562.56,3160.462,20180606
43.7058,43.7058,43.7058,1621.25,10019.325,20180607
48.0764,48.0764,48.0764,4541.42,30872.573,20180608
52.8854,52.8854,52.8854,7212.52,53935.225,20180611
58.1754,55.587,56.9731,301263.31,2424367.934,20180612
56.5064,52.3267,52.8501,199659.17,1542222.613,20180613
55.0,51.0042,51.6973,170309.1,1277420.576,20180614
53.232,49.2645,53.0127,153201.25,1115422.398,20180615
53.7341,47.7511,48.2532,162119.58,1181526.776,20180619
49.9788,45.8345,48.9533,155608.88,1053520.189,20180620
48.4017,44.0594,44.0594,119967.15,781220.356,20180621
42.2914,39.7454,40.3324,129429.95,748441.749,20180622
42.1853,40.3678,40.6789,99410.56,578888.039,20180625
43.3451,37.4823,42.454,122451.02,717459.874,20180626
44.2008,41.2306,43.628,117919.29,713789.193,20180627
44.0665,41.2306,41.3225,96124.19,582952.87,20180628
45.4526,40.9477,45.4526,56347.51,348560.076,20180629
50.0,48.4936,50.0,213427.08,1503077.534,20180702
50.4455,46.5276,48.3663,183577.17,1260749.316,20180703
48.6492,43.529,43.5361,159067.62,1033185.319,20180704
45.1556,42.0792,43.6775,123678.48,769047.947,20180705
47.7369,43.9958,45.0071,144056.82,932434.485,20180706
49.505,45.0071,49.505,56079.01,377990.316,20180709
52.9562,47.8571,48.4371,173695.72,1224549.319,20180710
52.3197,45.099,50.8982,179498.05,1234018.264,20180711
53.2673,49.505,53.0905,156610.76,1134060.342,20180712
52.8289,48.7977,49.3989,142881.19,1028205.753,20180713
50.8345,47.6662,50.5163,99085.92,693550.218,20180716
50.4031,47.1216,49.1938,98341.52,679816.699,20180717
51.9802,48.0905,48.239,110784.8,785750.951,20180718
47.0863,43.918,44.3564,119409.26,767257.485,20180719
45.4173,43.3522,44.9576,70722.39,446363.321,20180720
45.1627,43.2744,44.1372,61725.64,385715.376,20180723
46.6761,44.0594,46.4427,98832.52,640104.645,20180724
46.57,44.1938,44.2221,85139.32,546827.519,20180725
45.0141,41.0962,42.3692,79099.81,479076.274,20180726
42.8784,41.4427,41.8529,44787.07,266976.692,20180727
42.3833,39.8727,40.686,45148.7,262039.467,20180730
41.1952,40.099,41.1598,39999.65,230498.072,20180731
41.5488,40.3182,40.3536,42197.26,244197.082,20180801
41.6902,38.826,41.6549,77404.46,443398.045,20180802
41.9307,38.9109,39.0736,67808.89,390344.838,20180803
38.331,35.884,36.3791,55467.05,291104.484,20180806
37.8006,36.3225,37.6308,46091.29,242334.097,20180807
37.6096,33.8685,33.8826,73769.9,370138.297,20180808
35.587,33.6492,35.2192,58733.5,290348.106,20180809
35.8416,34.4272,35.488,54107.58,270080.62,20180810
37.2419,34.413,36.8458,62184.54,317091.955,20180813
37.4257,36.0679,36.9165,55677.62,289581.443,20180814
36.9165,34.7666,34.8232,52980.23,266500.107,20180815
35.6436,33.6351,34.4201,40358.72,198659.683,20180816
35.6436,33.331,33.5149,41395.47,202192.676,20180817
34.2928,32.0438,34.2433,51658.76,244217.895,20180820
34.6464,33.1683,34.3281,50993.46,245037.672,20180821
35.0071,33.3876,33.3876,43222.17,208809.431,20180822
35.1344,33.2532,34.9222,65122.87,316788.045,20180823
34.802,33.8614,34.1231,45622.58,221149.256,20180824
35.5728,34.3211,35.1344,52040.66,257459.607,20180827
35.2051,34.5545,35.0778,47341.62,233303.23,20180828
36.761,34.6535,36.4003,72388.72,366174.176,20180829
36.7044,34.71,34.8091,56037.46,283164.751,20180830
34.4908,32.9986,33.0339,46537.72,222212.624,20180831
33.4441,32.0297,33.2885,33896.92,156986.943,20180903
33.8048,32.9208,33.4866,28701.16,135294.348,20180904
34.0099,32.6379,32.7086,33252.44,157079.042,20180905
33.4441,32.2277,33.0339,31200.45,145230.572,20180906
33.7624,32.1782,32.5813,36444.31,170062.145,20180907
32.5177,31.1174,31.1174,31291.22,140750.328,20180910
31.9519,30.8487,31.4639,22223.58,98545.213,20180911
32.5106,31.174,32.0226,29652.6,133588.875,20180912
32.7723,31.3932,31.9873,26295.5,118760.079,20180913
32.2489,30.5941,30.9052,31394.92,139667.58,20180914
30.8416,29.3918,29.5262,22382.69,94987.81,20180917
