date,ttm
20110104,122.9433
20110105,115.1518
20110106,114.4064
20110107,110.6969
20110110,109.3126
20110111,105.8694
20110112,109.2593
20110113,108.1589
20110114,102.0712
20110117,95.2736
20110118,94.9186
20110119,94.9186
20110120,92.8243
20110121,92.4338
20110124,90.517
20110125,92.4161
20110126,97.4566
20110127,97.3501
20110128,96.7644
20110131,99.6042
20110201,100.1721
20110209,100.0656
20110210,101.2193
20110211,103.6508
20110214,103.988
20110215,102.9231
20110216,105.2304
20110217,107.3425
20110218,107.5377
20110221,109.3126
20110222,107.3602
20110223,111.8151
20110224,114.4773
20110225,114.7258
20110228,115.3648
20110301,111.6376
20110302,110.0402
20110303,106.3131
20110304,113.5722
20110307,114.4064
20110308,119.2339
20110309,120.4941
20110310,121.7307
20110311,122.5416
20110314,122.0993
20110315,120.1457
20110316,121.4174
20110317,115.9252
20110318,116.6624
20110321,113.4556
20110322,114.7088
20110323,115.5566
20110324,113.6399
20110325,115.0037
20110328,114.0453
20110329,110.5805
20110330,109.2904
20110331,109.2904
20110401,108.7006
20110406,108.5716
20110407,108.7559
20110408,112.0365
20110411,110.2119
20110412,109.2904
20110413,106.9313
20110414,102.8399
20110415,101.7341
20110418,100.0753
20110419,104.0931
20110420,102.1764
20110421,100.8125
20110422,103.9885
20110425,99.3932
20110426,99.0366
20110427,99.4526
20110428,98.2245
20110429,93.7679
20110503,92.1833
20110504,90.4006
20110505,90.5987
20110506,90.5987
20110509,90.0045
20110510,89.5291
20110511,87.7068
20110512,87.7861
20110513,88.9745
20110516,87.1919
20110517,87.3503
20110518,87.3503
20110519,86.4788
20110520,95.1148
20110523,102.6416
20110524,103.7904
20110525,102.9981
20110526,99.1159
20110527,92.5795
20110530,87.3503
20110531,90.6779
20110601,99.7497
20110602,100.9778
20110603,106.1673
20110607,104.86
20110608,106.7219
20110609,99.0763
20110610,101.8889
20110613,101.8097
20110614,104.8996
20110615,102.4435
20110616,100.1458
20110617,96.0259
20110620,90.163
20110621,95.4713
20110622,93.8867
20110623,95.3129
20110624,104.86
20110627,108.148
20110628,107.3953
20110629,105.4938
20110630,108.3461
20110701,106.5238
20110704,108.7422
20110705,110.921
20110706,117.0613
20110707,114.011
20110708,110.1684
20110711,112.0699
20110712,107.8707
20110713,110.5249
20110714,104.0281
20110715,101.8493
20110718,103.315
20110719,110.8814
20110720,108.148
20110721,105.1769
20110722,104.7808
20110725,97.6897
20110726,96.739
20110727,98.284
20110728,96.6994
20110729,92.8568
20110801,91.9852
20110802,91.2326
20110803,94.2433
20110804,93.8867
20110805,91.391
20110808,82.8739
20110809,80.2197
20110810,80.4178
20110811,80.6554
20110812,82.6362
20110815,83.9435
20110816,81.527
20110817,82.7154
20110818,80.7347
20110819,79.5066
20110822,79.8631
20110823,82.0816
20110824,83.1908
20110825,83.5869
20110826,389.4726
20110829,391.4653
20110830,378.9659
20110831,371.3576
20110901,362.3001
20110902,362.4813
20110905,341.4679
20110906,334.0407
20110907,341.1056
20110908,340.5621
20110909,335.1276
20110913,321.5413
20110914,321.5413
20110915,353.7861
20110916,372.6257
20110919,378.2413
20110920,385.8496
20110921,395.2694
20110922,378.7848
20110923,379.1471
20110926,377.879
20110927,365.0174
20110928,357.9525
20110929,324.2586
20110930,328.9685
20111010,325.3455
20111011,321.3602
20111012,333.3161
20111013,366.6477
20111014,361.3944
20111017,366.6477
20111018,344.7286
20111019,342.3736
20111020,331.5046
20111021,321.5413
20111024,343.6417
20111025,349.6196
20111026,356.8656
20111027,352.3369
20111028,-319.2086
20111031,-321.8052
20111101,-353.937
20111102,-378.9284
20111103,-379.4153
20111104,-374.8714
20111107,-364.4853
20111108,-363.6739
20111109,-384.7706
20111110,-391.5864
20111111,-379.0907
20111114,-389.3145
20111115,-389.3145
20111116,-386.2311
20111117,-393.0469
20111118,-371.6257
20111121,-359.7791
20111122,-370.4897
20111123,-358.4809
20111124,-363.5116
20111125,-359.9414
20111128,-355.5598
20111129,-366.4327
20111130,-352.1519
20111201,-357.3449
20111202,-343.2264
20111205,-326.3491
20111206,-327.485
20111207,-329.1078
20111208,-328.1342
20111209,-318.5595
20111212,-316.7744
20111213,-306.0638
20111214,-305.9015
20111215,-305.4147
20111216,-315.6384
20111219,-318.8841
20111220,-314.5025
20111221,-307.3621
20111222,-306.7129
20111223,-308.0112
20111226,-304.441
20111227,-292.2698
20111228,-290.4847
20111229,-291.2961
20111230,-300.7085
20120104,-288.6996
20120105,-266.1424
20120106,-260.3003
20120109,-266.3047
20120110,-275.8794
20120111,-275.8794
20120112,-275.8794
20120113,-259.6512
20120116,-238.3922
20120117,-247.6423
20120118,-226.3834
20120119,-228.0062
20120120,-235.7957
20120130,-236.1203
20120131,-237.4185
20120201,-234.9843
20120202,-243.9098
20120203,-268.2521
20120206,-281.0724
20120207,-286.1031
20120208,-294.7041
20120209,-293.5681
20120210,-299.4102
20120213,-322.9411
20120214,-322.9411
20120215,-322.9411
20120216,-318.235
20120217,-324.2394
20120220,-322.1297
20120221,-321.3183
20120222,-327.8096
20120223,-333.0026
20120224,-334.3009
20120227,-350.2045
20120228,-350.5291
20120229,-361.8888
20120301,-357.5072
20120302,-357.5072
20120305,-370.9766
20120306,-387.5294
20120307,-375.3582
20120308,-372.1126
20120309,-367.5687
20120312,-367.5687
20120313,-393.5338
20120314,-381.0381
