date,ttm
20110104,15.2991
20110105,15.0303
20110106,14.5499
20110107,14.5413
20110110,14.141
20110111,13.6749
20110112,13.9408
20110113,13.8693
20110114,14.1267
20110117,13.6834
20110118,13.7492
20110119,14.1496
20110120,13.8922
20110121,14.1095
20110124,13.4346
20110125,13.2516
20110126,13.4632
20110127,14.0123
20110128,14.5499
20110131,14.6157
20110201,14.4784
20110209,14.0123
20110210,14.5442
20110211,15.6995
20110214,16.892
20110215,16.7347
20110216,17.5354
20110217,17.2208
20110218,16.5545
20110221,16.972
20110222,16.28
20110223,16.1999
20110224,16.2342
20110225,16.3143
20110228,17.2351
20110301,16.9806
20110302,17.1493
20110303,16.9835
20110304,17.1608
20110307,17.4839
20110308,17.3953
20110309,17.1465
20110310,16.6174
20110311,16.4945
20110314,16.5288
20110315,16.2285
20110316,16.1828
20110317,16.0455
20110318,16.3772
20110321,16.2514
20110322,16.3858
20110323,16.6346
20110324,16.3515
20110325,16.3715
20110328,16.3286
20110329,15.851
20110330,15.791
20110331,13.0641
20110401,13.2508
20110406,13.2361
20110407,13.2852
20110408,13.4793
20110411,13.8969
20110412,13.6905
20110413,13.7348
20110414,13.6218
20110415,13.6881
20110418,13.8674
20110419,13.5112
20110420,13.4547
20110421,13.4547
20110422,12.7066
20110425,12.4737
20110426,12.5046
20110427,12.1577
20110428,11.9985
20110429,12.1173
20110503,12.1577
20110504,11.8179
20110505,11.5518
20110506,11.3689
20110509,11.7395
20110510,11.7799
20110511,11.5899
20110512,11.4069
20110513,11.4734
20110516,11.2905
20110517,11.5946
20110518,11.5946
20110519,11.5067
20110520,11.3855
20110523,11.117
20110524,11.1859
20110525,11.0933
20110526,11.079
20110527,11.1432
20110530,10.9959
20110531,11.1859
20110601,11.0862
20110602,10.7583
20110603,10.8414
20110607,10.8818
20110608,10.8105
20110609,10.6324
20110610,10.7321
20110613,10.5991
20110614,10.8034
20110615,10.6442
20110616,10.4565
20110617,10.2166
20110620,9.9077
20110621,9.998
20110622,10.036
20110623,10.485
20110624,10.8034
20110627,10.8224
20110628,10.7036
20110629,10.5706
20110630,10.7939
20110701,10.7583
20110704,11.1717
20110705,11.3166
20110706,11.1978
20110707,11.1955
20110708,10.9792
20110711,11.0244
20110712,10.8034
20110713,10.9412
20110714,10.8795
20110715,10.8818
20110718,10.7488
20110719,10.4256
20110720,10.5349
20110721,10.4613
20110722,10.6086
20110725,10.1144
20110726,10.1928
20110727,10.2688
20110728,10.2831
20110729,10.2403
20110801,10.257
20110802,10.4161
20110803,10.3662
20110804,10.2878
20110805,10.0051
20110808,9.7034
20110809,9.5347
20110810,9.5632
20110811,9.5489
20110812,9.6962
20110815,10.0241
20110816,9.8245
20110817,9.834
20110818,9.5846
20110819,9.4373
20110822,9.4491
20110823,9.6463
20110824,9.625
20110825,9.8293
20110826,9.8412
20110829,9.6535
20110830,9.6903
20110831,9.8794
20110901,9.8274
20110902,9.7542
20110905,9.4894
20110906,9.3996
20110907,9.5958
20110908,9.4564
20110909,9.5202
20110913,9.2885
20110914,9.3784
20110915,9.3854
20110916,9.3736
20110919,9.2625
20110920,9.2649
20110921,9.5202
20110922,9.2413
20110923,9.0758
20110926,8.8844
20110927,8.9766
20110928,8.9293
20110929,8.9104
20110930,8.8064
20111010,8.7284
20111011,8.7095
20111012,8.9718
20111013,9.0191
20111014,8.9175
20111017,8.8986
20111018,8.5559
20111019,8.3148
20111020,8.1777
20111021,8.0146
20111024,8.1541
20111025,8.2959
20111026,8.3668
20111027,8.4519
20111028,8.7568
20111031,9.2259
20111101,9.4849
20111102,9.6372
20111103,9.7464
20111104,9.7108
20111107,9.589
20111108,9.5458
20111109,9.8708
20111110,9.7768
