date,ttm
20110104,29.6762
20110105,29.0325
20110106,29.087
20110107,29.2943
20110110,29.458
20110111,29.6762
20110112,29.4907
20110113,29.1961
20110114,28.6615
20110117,27.145
20110118,27.0141
20110119,27.2868
20110120,26.1303
20110121,25.8466
20110124,26.6213
20110125,26.1085
20110126,26.6213
20110127,27.5487
20110128,27.8978
20110131,28.7815
20110201,28.3997
20110209,29.5671
20110210,30.0035
20110211,30.3963
20110214,31.4
20110215,30.9309
20110216,31.6728
20110217,31.6401
20110218,31.16
20110221,34.2804
20110222,34.1494
20110223,34.8913
20110224,33.7894
20110225,33.5057
20110228,35.2405
20110301,34.5422
20110302,34.0949
20110303,33.6039
20110304,33.953
20110307,33.9749
20110308,33.713
20110309,34.9132
20110310,34.684
20110311,34.5749
20110314,36.4952
20110315,35.3605
20110316,36.8552
20110317,35.0223
20110318,27.8713
20110321,27.0864
20110322,27.4303
20110323,27.6156
20110324,27.792
20110325,27.5626
20110328,26.7247
20110329,26.0632
20110330,26.1161
20110331,26.4601
20110401,26.4513
20110406,25.7986
20110407,25.6575
20110408,26.072
20110411,25.3047
20110412,25.0666
20110413,25.9838
20110414,25.5781
20110415,25.4899
20110418,25.5605
20110419,25.0401
20110420,25.5733
20110421,25.7576
20110422,25.2575
20110425,25.1785
20110426,24.9855
20110427,25.0469
20110428,23.8626
20110429,24.196
20110503,24.196
20110504,23.0379
20110505,23.0028
20110506,23.5292
20110509,23.7924
20110510,24.1258
20110511,24.0468
20110512,23.3187
20110513,23.1607
20110516,23.1432
20110517,23.1432
20110518,23.5555
20110519,23.9328
20110520,23.6871
20110523,22.88
20110524,23.0818
20110525,22.3799
20110526,22.3712
20110527,22.4501
20110530,22.5817
20110531,22.8011
20110601,22.9063
20110602,22.301
20110603,23.0555
20110607,23.5029
20110608,23.2485
20110609,23.0467
20110610,22.9853
20110613,22.5466
20110614,23.4239
20110615,23.3888
20110616,22.959
20110617,22.9677
20110620,22.2834
20110621,22.7133
20110622,22.4852
20110623,23.2572
20110624,23.6345
20110627,23.7573
20110628,24.1433
20110629,24.31
20110630,24.8101
20110701,24.8188
20110704,25.1434
20110705,24.6609
20110706,24.9768
20110707,24.5714
20110708,24.7294
20110711,24.5083
20110712,23.9924
20110713,24.4662
20110714,24.2556
20110715,24.8767
20110718,25.1189
20110719,24.7083
20110720,24.2556
20110721,23.5818
20110722,23.3924
20110725,22.687
20110726,22.7712
20110727,23.0765
20110728,23.1397
20110729,22.7607
20110801,22.9818
20110802,22.9186
20110803,22.5817
20110804,22.4028
20110805,21.3395
20110808,20.7078
20110809,20.4446
20110810,20.2235
20110811,18.9076
20110812,19.0444
20110815,19.3076
20110816,19.2234
20110817,19.3076
20110818,18.9813
20110819,18.6444
20110822,18.6023
20110823,18.7918
20110824,19.055
20110825,19.6129
20110826,19.9288
20110829,19.7287
20110830,19.4024
20110831,20.4191
20110901,21.1198
20110902,20.5286
20110905,19.6856
20110906,19.16
20110907,19.5104
20110908,19.5213
20110909,19.3243
20110913,19.4885
20110914,19.6089
20110915,20.0031
20110916,20.4082
20110919,20.2877
20110920,20.1454
20110921,20.9665
20110922,20.4958
20110923,20.2001
20110926,20.3534
20110927,21.076
20110928,21.2403
20110929,20.7476
20110930,20.6928
20111010,20.0359
20111011,18.6673
20111012,18.952
20111013,19.0177
20111014,18.8535
20111017,19.0834
20111018,18.3608
20111019,17.7367
20111020,17.3973
20111021,17.5068
20111024,17.9447
20111025,18.5579
20111026,19.0505
20111027,19.1053
20111028,20.7403
20111031,20.7171
20111101,20.9846
20111102,21.7872
20111103,21.7756
20111104,22.1827
20111107,22.2642
20111108,21.3452
20111109,21.4266
20111110,21.2173
20111111,21.1242
20111114,21.6942
20111115,22.1246
20111116,21.7291
20111117,22.0315
20111118,21.5197
20111121,21.636
20111122,21.636
20111123,21.6477
20111124,21.6942
20111125,21.4615
20111128,21.1707
20111129,21.1126
20111130,20.2052
20111201,20.4495
20111202,20.1936
20111205,19.7749
20111206,19.9493
20111207,20.5775
20111208,20.9264
20111209,20.6473
20111212,20.6473
20111213,20.1122
20111214,20.0075
20111215,19.3445
20111216,19.833
20111219,20.2983
20111220,20.3681
20111221,20.403
20111222,20.2983
20111223,20.4146
20111226,20.3332
20111227,19.6585
20111228,19.484
20111229,19.5887
20111230,19.6585
20120104,19.5422
20120105,19.4259
20120106,18.9257
20120109,19.4375
20120110,20.2983
20120111,20.3099
20120112,20.4612
20120113,19.7749
20120116,19.3677
20120117,20.182
20120118,19.4259
20120119,17.4833
20120120,17.8555
20120130,17.2739
20120131,17.2158
20120201,17.1692
20120202,17.5415
20120203,17.7392
20120206,18.0882
20120207,17.7974
20120208,18.2394
20120209,17.9137
20120210,18.158
20120213,18.0882
20120214,17.8439
20120215,18.9141
20120216,19.2863
20120217,19.1816
20120220,19.1118
20120221,19.3212
20120222,20.0424
20120223,20.1122
20120224,20.1006
20120227,20.3216
20120228,19.9959
20120229,19.9493
20120301,19.8912
20120302,20.2634
20120305,19.9959
20120306,19.7632
20120307,19.6934
20120308,19.6236
20120309,20.0657
20120312,20.7054
20120313,20.8567
20120314,19.9028
20120315,20.4263
20120316,20.531
20120319,21.1126
20120320,20.4961
20120321,20.3914
20120322,19.9028
20120323,19.4259
20120326,19.0769
20120327,19.2398
20120328,18.7047
20120329,26.8505
20120330,27.4349
20120405,28.0527
20120406,27.7188
20120409,27.1344
20120410,27.2846
20120411,27.2846
20120412,27.2846
20120413,27.7021
20120416,27.1844
20120417,26.8839
20120418,27.3681
20120419,28.0861
20120420,28.7541
20120423,28.8876
20120424,29.4387
20120425,29.4053
20120426,28.3791
20120427,27.7682
20120502,27.9498
20120503,28.0654
20120504,28.7918
20120507,28.8909
20120508,28.7258
20120509,28.0654
20120510,27.8178
20120511,27.306
20120514,27.1079
20120515,27.9333
20120516,27.1904
20120517,27.4381
20120518,26.398
20120521,25.7376
20120522,25.9027
20120523,25.8037
20120524,25.556
20120525,25.556
20120528,25.0773
20120529,25.7707
20120530,25.2589
20120531,25.2093
20120601,25.2424
20120604,24.4169
20120605,24.0207
20120606,23.608
20120607,23.6575
20120608,23.7235
20120611,24.3839
20120612,23.6245
20120613,24.0207
20120614,24.3839
20120615,24.2518
20120618,24.6811
20120619,24.582
20120620,24.8792
20120621,24.6976
20120625,23.8556
20120626,24.1197
20120627,23.8556
20120628,23.707
20120629,23.0467
20120702,23.0797
20120703,23.1127
20120704,23.4594
20120705,23.1457
20120706,23.4924
20120709,22.799
20120710,21.5443
20120711,21.5113
20120712,22.0066
20120713,21.4948
20120716,19.3486
20120717,18.8038
20120718,18.259
20120719,18.5232
20120720,18.6222
20120723,18.8864
20120724,18.9194
20120725,18.5892
20120726,18.7213
20120727,18.9524
20120730,18.8038
20120731,18.8368
20120801,18.9029
20120802,18.5727
20120803,18.6057
20120806,18.6387
20120807,19.068
20120808,18.9524
20120809,19.4312
20120810,19.068
20120813,18.6718
20120814,18.9689
20120815,18.7378
20120816,18.8203
20120817,18.4406
20120820,18.3251
20120821,18.5892
20120822,18.4902
20120823,25.1325
20120824,24.4157
20120827,22.4221
20120828,21.9069
20120829,21.5933
20120830,22.3325
