date,ttm
20150320,30.3474
20150323,33.3852
20150324,36.733
20150325,40.4219
20150326,44.4516
20150327,48.8844
20150330,53.7821
20150331,59.1759
20150401,65.0965
20150402,71.6062
20150403,78.7668
20150407,86.6404
20150408,95.3199
20150409,104.8674
20150410,115.3449
20150413,126.8763
20150414,139.5546
20150415,153.5038
20150416,168.848
20150417,185.7421
20150420,204.3101
20150421,202.0473
20150422,222.2582
20150423,218.8484
20150424,209.1459
20150427,212.8037
20150428,179.6564
20150429,197.6109
20150430,195.4186
20150504,203.9658
20150505,206.8518
20150506,216.6477
20150507,224.1958
20150508,246.6182
20150511,271.2883
20150512,269.1238
20150513,259.1892
20150514,263.6292
20150515,252.5845
20150518,277.8375
20150519,279.3082
20150520,276.8662
20150521,271.6491
20150522,271.5381
20150525,270.6778
20150526,297.7345
20150527,327.5107
20150528,310.805
20150529,315.2451
20150601,313.4413
20150602,334.6704
20150603,313.58
20150604,284.4421
20150605,275.6729
20150608,252.0295
20150609,262.2417
20150610,276.6719
20150611,273.7581
20150612,266.2933
20150615,239.6528
20150616,241.7341
20150617,242.1226
20150618,228.9689
20150619,206.0748
20150623,224.2513
20150624,225.3336
20150625,215.0659
20150626,193.5594
20150629,174.2173
20150630,179.7396
20150701,162.6454
20150702,146.3836
20150703,131.7591
20150706,118.5777
20150707,106.7282
20150708,106.7282
20150709,106.7282
20150710,106.7282
20150713,117.4121
20150714,129.1506
20150715,131.5371
20150716,136.2547
20150717,149.8802
20150720,155.9575
20150721,169.2777
20150722,173.7178
20150723,187.6763
20150724,187.6763
20150727,187.6763
20150728,187.6763
20150729,179.7119
20150730,161.7296
20150731,147.4104
20150803,133.1744
20150804,145.3568
20150805,142.6095
20150806,139.3627
20150807,153.2935
20150810,168.6117
20150811,164.2826
20150812,173.744
20150813,174.3296
20150814,173.1291
20150817,168.6786
20150818,160.4511
20150819,169.8205
20150820,157.2304
20150821,142.1222
20150824,127.9217
20150825,115.1266
20150826,111.8473
20150827,115.6536
20150828,127.219
20150831,120.0456
20150901,108.041
20150902,99.55
20150907,103.5027
20150908,113.0185
20150909,122.6807
20150910,117.264
20150911,118.728
20150914,106.8698
20150915,96.2414
20150916,105.8743
20150917,104.8203
20150918,106.4599
20150921,117.1176
20150922,121.7438
20150923,121.5974
20150924,123.237
20150925,114.4825
20150928,120.3091
20150929,122.1537
20150930,132.0926
20151008,138.9387
20151009,144.9847
20151012,152.4829
20151013,150.7343
20151014,144.9551
20151015,152.9274
20151016,154.0536
20151019,160.6331
20151020,176.6964
20151021,159.0327
20151022,168.5462
20151023,185.3801
20151026,185.3208
20151027,183.3351
20151028,181.7837
20151029,181.8461
20151030,177.2594
20151102,176.2922
20151103,177.5402
20151104,190.7076
20151105,189.4595
20151106,208.3992
20151109,216.5429
20151110,213.7659
20151111,229.9599
20151112,245.4361
20151113,245.4361
20151116,245.4361
20151117,245.4361
20151118,245.4361
20151119,245.4361
20151120,251.0213
20151123,229.6478
20151124,240.2566
20151125,242.6591
20151126,236.5123
20151127,213.4227
20151130,225.5916
20151201,227.4637
20151202,218.103
20151203,227.9317
20151204,226.3092
20151207,228.743
20151208,220.412
20151209,214.2652
20151210,213.4539
20151211,208.5864
20151214,215.014
20151215,215.1076
20151216,215.8253
20151217,237.4172
20151218,235.545
20151221,232.5808
20151222,236.9491
20151223,230.6463
20151224,237.1052
20151225,233.4857
20151228,226.5276
20151229,222.1593
20151230,229.6478
20151231,222.0969
20160104,200.2242
20160105,193.4533
20160106,198.1649
20160107,178.3515
20160108,176.1361
20160111,158.5381
20160112,158.5069
20160113,145.6516
20160114,153.7018
20160115,146.9933
20160118,156.9468
20160119,162.4072
20160120,159.1934
20160121,148.4598
20160122,152.0481
20160125,156.666
20160126,141.0025
20160127,140.3473
20160128,132.734
20160129,140.0353
20160201,138.3191
20160202,147.5862
20160203,147.4302
20160204,158.819
20160205,154.4507
20160215,153.3274
20160216,162.2512
20160217,163.1248
20160218,160.8471
20160219,161.7832
20160222,165.7458
20160223,164.3417
20160224,159.6302
20160225,143.6547
20160226,143.0619
20160229,131.049
20160301,134.9493
20160302,141.9074
20160303,140.8777
20160304,131.8291
20160307,135.6982
20160308,140.7841
20160309,136.7902
20160310,142.9683
20160311,137.3831
20160314,144.466
20160315,144.2163
20160316,142.0946
20160317,149.4583
20160318,156.198
20160321,165.2466
20160322,161.3151
20160323,164.8722
20160324,161.7208
20160325,163.3433
20160328,160.3167
20160329,152.8905
20160330,160.0046
20160331,160.6492
20160401,156.0271
20160405,162.9915
20160406,172.8603
20160407,167.1139
20160408,179.1376
20160411,183.9471
20160412,178.1695
20160413,177.0452
20160414,181.2301
20160415,179.2625
20160418,173.0165
20160419,177.701
20160420,165.8335
20160421,158.6505
20160422,164.5843
20160425,124.9047
20160426,127.3781
20160427,125.7609
20160428,125.9274
20160429,125.4517
20160503,133.1572
20160504,132.6815
20160505,134.0133
20160506,126.4981
20160509,123.5491
20160510,122.7881
20160511,122.0271
20160512,120.3147
20160513,120.5763
20160516,123.24
20160517,124.6907
20160518,126.6884
20160519,131.5162
20160520,133.0858
20160523,135.4165
20160524,131.3735
20160525,133.2285
20160526,131.2784
20160527,144.4062
20160530,142.9793
20160531,151.0177
20160601,157.2487
20160602,156.9157
20160603,153.2532
20160606,152.9678
20160607,157.8194
20160608,153.2532
20160613,147.4504
20160614,147.3552
20160615,155.7742
20160616,156.5352
20160617,159.2464
20160620,156.3925
20160621,151.3506
20160622,153.6338
20160623,156.6779
20160624,152.0166
20160627,157.2011
20160628,165.8103
20160629,165.0968
20160630,163.6223
20160701,160.816
20160704,162.6235
20160705,163.2418
20160706,161.1965
20160707,159.6269
20160708,161.5295
20160711,157.867
20160712,157.5341
20160713,158.961
20160714,158.1048
20160715,157.9146
20160718,154.2997
20160719,155.4888
20160720,155.0607
20160721,156.3449
20160722,155.9169
20160725,152.8252
20160726,155.1558
20160727,144.977
20160728,143.9306
20160729,142.5512
20160801,138.2228
20160802,139.84
20160803,138.9363
20160804,141.9804
20160805,139.9351
20160808,142.2182
20160809,144.0733
20160810,142.8841
20160811,138.9363
20160812,144.216
20160815,148.8297
20160816,150.5896
20160817,150.6847
20160818,150.3042
20160819,152.2068
20160822,153.4435
20160823,160.7684
20160824,144.7609
20160825,145.2364
20160826,148.1757
20160829,146.1874
20160830,144.4584
20160831,149.4725
20160901,145.5822
20160902,151.5041
20160905,151.8499
20160906,151.5041
20160907,145.5822
20160908,166.1141
20160909,164.7899
20160912,161.602
20160913,161.9944
20160914,160.7192
20160919,164.3485
20160920,165.0842
20160921,171.6562
20160922,170.332
20160923,171.1657
20160926,161.7492
20160927,165.5256
20160928,165.5256
20160929,164.6428
20160930,165.1823
20161010,170.1848
20161011,170.381
20161012,182.8383
20161013,180.4842
20161014,181.7594
20161017,184.8001
20161018,185.6829
20161019,181.6613
20161020,179.0129
20161021,175.6778
20161024,176.0702
20161025,176.2173
20161026,174.5989
20161027,177.6396
20161028,139.5256
20161031,138.6324
20161101,143.37
20161102,142.7875
20161103,143.6807
20161104,138.6324
20161107,136.186
20161108,137.8946
20161109,136.8849
20161110,139.0207
20161111,137.2733
20161114,146.6708
20161115,146.5931
20161116,144.3796
20161117,141.4672
20161118,143.0593
20161121,143.6807
20161122,151.9908
20161123,147.8746
20161124,148.095
20161125,153.2191
20161128,153.025
20161129,145.5717
20161130,146.5422
20161201,147.9009
20161202,144.3683
20161205,140.8358
20161206,141.5733
20161207,142.8156
20161208,140.37
20161209,140.0982
20161212,127.055
20161213,127.8314
20161214,125.774
20161215,126.8221
20161216,128.6078
20161219,128.336
20161220,128.0643
20161221,128.8407
20161222,127.1714
20161223,122.6684
20161226,126.4727
20161227,126.8609
20161228,126.7056
20161229,124.7258
20161230,126.628
20170103,129.0736
20170104,130.6652
20170105,130.0441
20170106,129.5782
20170109,131.131
20170110,129.4618
20170111,130.8204
20170112,126.9385
20170113,125.6963
20170116,118.5148
20170117,117.7772
20170118,116.3797
20170119,118.1654
20170120,117.816
20170123,119.4853
20170124,118.0878
20170125,119.0583
20170126,121.2321
20170203,120.1452
20170206,123.1731
20170207,123.2119
20170208,123.7554
20170209,124.9199
20170210,123.9106
20170213,136.2939
20170214,149.9195
20170215,160.4783
20170216,160.4783
20170217,160.4783
20170220,160.4783
20170221,160.4783
20170222,160.4783
20170223,160.4783
20170224,160.4783
20170227,160.4783
20170228,160.4783
20170301,160.4783
20170302,160.4783
20170303,160.4783
20170306,160.4783
20170307,160.4783
20170308,160.4783
20170309,160.4783
20170310,160.4783
20170313,160.4783
20170314,160.4783
20170315,160.4783
20170316,160.4783
20170317,160.4783
20170320,160.4783
20170321,166.2242
20170322,166.2242
20170323,166.2242
20170324,166.2242
20170327,166.2242
20170328,166.2242
20170329,166.2242
20170330,166.2242
20170331,166.2242
20170405,166.2242
20170406,166.2242
20170407,166.2242
20170410,166.2242
20170411,166.2242
20170412,166.2242
20170413,149.6178
20170414,134.6601
20170417,121.19
20170418,115.8825
20170419,118.094
20170420,120.6271
20170421,120.2652
20170424,117.7723
20170425,120.3457
20170426,125.3718
20170427,125.5326
20170428,112.0526
20170502,114.3489
20170503,114.1337
20170504,111.8374
20170505,117.0399
20170508,117.1476
20170509,120.915
20170510,125.7228
20170511,123.1395
20170512,126.1893
20170515,128.0909
20170516,130.6025
20170517,126.1175
20170518,134.9081
20170519,129.849
20170522,117.901
20170523,116.8964
20170524,118.511
20170525,117.4705
20170526,120.018
20170531,127.3016
20170601,120.1974
20170602,122.6372
20170605,128.0909
20170606,124.0365
20170607,135.7333
20170608,143.4834
20170609,134.1187
20170612,129.7055
20170613,134.3682
20170614,130.5572
20170615,133.3883
20170616,134.2594
20170619,131.4283
20170620,130.2305
20170621,128.4883
20170622,127.5083
20170623,124.4594
20170626,125.2216
20170627,127.1816
20170628,124.2416
20170629,125.6572
20170630,124.5683
