date,ttm
20110104,73.3152
20110105,71.7859
20110106,70.2253
20110107,70.8496
20110110,68.0405
20110111,67.3227
20110112,69.289
20110113,70.1629
20110114,68.3214
20110117,62.4225
20110118,63.2028
20110119,64.9194
20110120,62.5786
20110121,62.1104
20110124,57.7408
20110125,57.7408
20110126,58.7084
20110127,59.8944
20110128,62.4225
20110131,61.6734
20110201,61.7983
20110209,61.2365
20110210,64.9194
20110211,65.2315
20110214,66.48
20110215,68.0718
20110216,68.5711
20110217,67.3851
20110218,65.3876
20110221,66.3863
20110222,70.5374
20110223,71.942
20110224,71.5674
20110225,73.3465
20110228,74.2828
20110301,73.3152
20110302,72.0356
20110303,69.1329
20110304,69.6323
20110307,69.6011
20110308,70.6623
20110309,69.1641
20110310,68.1966
20110311,69.1329
20110314,70.7559
20110315,69.6011
20110316,69.3202
20110317,69.7884
20110318,69.0705
20110321,66.6672
20110322,64.7946
20110323,65.8245
20110324,65.8558
20110325,65.3876
20110328,69.1879
20110329,70.7186
20110330,69.0348
20110331,64.657
20110401,64.0753
20110406,64.0141
20110407,63.5855
20110408,64.3509
20110411,64.2896
20110412,63.9529
20110413,64.9632
20110414,64.7795
20110415,64.3509
20110418,63.4018
20110419,62.7283
20110420,64.2284
20110421,59.6551
20110422,59.054
20110425,59.054
20110426,56.7353
20110427,54.7029
20110428,54.1591
20110429,56.6781
20110503,57.2792
20110504,55.6762
20110505,57.8231
20110506,57.2506
20110509,57.8231
20110510,57.5082
20110511,56.8785
20110512,56.8212
20110513,57.5368
20110516,55.7621
20110517,55.6476
20110518,55.5331
20110519,56.6781
20110520,56.6781
20110523,55.2754
20110524,54.3881
20110525,52.9568
20110526,53.0713
20110527,52.2412
20110530,52.3843
20110531,53.2144
20110601,54.1591
20110602,52.4988
20110603,53.0999
20110607,53.8728
20110608,53.1858
20110609,53.1858
20110610,52.785
20110613,52.098
20110614,52.5847
20110615,52.3557
20110616,52.0694
20110617,51.64
20110620,49.2928
20110621,49.2355
20110622,48.6916
20110623,49.579
20110624,50.5523
20110627,51.0675
20110628,50.6095
20110629,49.6076
20110630,50.5523
20110701,52.6133
20110704,53.0427
20110705,54.3594
20110706,54.0159
20110707,53.9873
20110708,53.7869
20110711,54.8461
20110712,53.7011
20110713,54.1304
20110714,56.0483
20110715,59.97
20110718,61.5444
20110719,61.0005
20110720,61.2581
20110721,61.5158
20110722,63.2905
20110725,61.5444
20110726,60.5998
20110727,60.657
20110728,61.9738
20110729,61.4013
20110801,60.428
20110802,59.2257
20110803,58.825
20110804,58.7677
20110805,57.1075
20110808,58.9395
20110809,58.9681
20110810,60.3994
20110811,60.2562
20110812,59.9127
20110815,62.4031
20110816,62.26
20110817,62.1169
20110818,54.7097
20110819,54.9653
20110822,54.1984
20110823,53.3036
20110824,53.2269
20110825,54.9653
20110826,57.0617
20110829,55.6556
20110830,54.4796
20110831,54.2239
20110901,54.2495
20110902,53.1502
20110905,53.1502
20110906,51.514
20110907,52.4088
20110908,52.8434
20110909,52.1276
20110913,51.1305
20110914,51.4117
20110915,51.6418
20110916,51.4117
20110919,51.3862
20110920,51.7441
20110921,52.4344
20110922,51.1817
20110923,51.335
20110926,49.8267
20110927,49.3921
20110928,48.574
20110929,48.6251
20110930,48.6251
20111010,49.6222
20111011,49.4432
20111012,51.3095
20111013,51.1817
20111014,50.6192
20111017,51.1305
20111018,50.6192
20111019,50.1079
20111020,48.4462
20111021,46.6566
20111024,44.1333
20111025,45.3071
20111026,45.0724
20111027,44.9315
20111028,45.8001
20111031,46.2461
20111101,47.1851
20111102,48.0068
20111103,49.3918
20111104,48.9458
20111107,49.0397
20111108,49.0631
20111109,49.2979
20111110,49.204
20111111,49.3214
20111114,50.2134
20111115,50.0491
20111116,48.3119
20111117,48.8284
20111118,48.3824
20111121,48.3824
20111122,48.1241
20111123,48.6641
20111124,48.1241
20111125,48.8519
20111128,49.5561
20111129,50.1899
20111130,48.5702
20111201,50.2838
20111202,49.204
20111205,47.4668
20111206,48.1241
20111207,48.8284
20111208,48.2415
20111209,47.9129
20111212,46.7156
20111213,46.0114
20111214,46.1522
20111215,45.6358
20111216,46.6687
20111219,46.9738
20111220,46.7391
20111221,46.4574
20111222,46.0348
20111223,46.0818
20111226,45.7766
20111227,44.7907
20111228,44.1333
20111229,44.462
20111230,44.5089
20120104,44.1099
20120105,42.2553
20120106,40.7529
20120109,41.5511
20120110,42.8187
20120111,44.0394
20120112,45.0958
20120113,43.3821
20120116,40.5182
20120117,42.0675
20120118,40.0956
20120119,40.3773
20120120,41.1755
20120130,40.8468
20120131,40.6121
20120201,40.6121
20120202,41.5041
20120203,42.1614
20120206,42.3727
20120207,41.0816
20120208,41.7858
20120209,42.1614
