MMSI,IMO,船名,船长,船宽,载重吨,总吨,吃水
413901199," ""0"""," ""null"""," ""75"""," ""16"""," ""null"""," ""null"""," ""null"""
413901877," ""null"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""null"""
413902743," ""1456789"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""null"""
413904181," ""null"""," ""null"""," ""49"""," ""11"""," ""null"""," ""null"""," ""null"""
413906657," ""null"""," ""null"""," ""90"""," ""19"""," ""null"""," ""null"""," ""null"""
413906683," ""null"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""null"""
413906790," ""0"""," ""null"""," ""80"""," ""16"""," ""null"""," ""null"""," ""null"""
413971784," ""null"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""null"""
413977782," ""0"""," ""null"""," ""57"""," ""13"""," ""null"""," ""null"""," ""null"""
413997943," ""null"""," ""null"""," ""49"""," ""14"""," ""null"""," ""null"""," ""null"""
413998228," ""0"""," ""null"""," ""67"""," ""16"""," ""null"""," ""null"""," ""null"""
412478430," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
412503730," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413468930," ""null"""," """""," ""49"""," ""11"""," ""306"""," ""208"""," ""null"""
413479740," ""0"""," ""null"""," ""79"""," ""15"""," ""null"""," ""null"""," ""null"""
413509280," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413762726," ""19"""," """""," ""50"""," ""16"""," ""346"""," ""235"""," ""null"""
413762762," ""null"""," ""null"""," ""50"""," ""15"""," ""null"""," ""null"""," ""null"""
413762789," ""0"""," ""null"""," ""90"""," ""15"""," ""null"""," ""null"""," ""0"""
413762845," ""null"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""null"""
413773354," ""0"""," ""null"""," ""58"""," ""16"""," ""null"""," ""null"""," ""null"""
413774112," ""0"""," ""null"""," ""15"""," ""4"""," ""null"""," ""null"""," ""null"""
413792864," ""0"""," ""null"""," ""65"""," ""13"""," ""null"""," ""null"""," ""null"""
413853699," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413900259," ""null"""," ""null"""," ""54"""," ""11"""," ""null"""," ""null"""," ""null"""
413900613," ""null"""," """""," ""50"""," ""14"""," ""1897"""," ""1290"""," ""null"""
413900652," ""null"""," ""null"""," ""49"""," ""16"""," ""null"""," ""null"""," ""null"""
413900747," ""0"""," """""," ""50"""," ""16"""," ""346"""," ""235"""," ""0"""
413901317," ""0"""," ""null"""," ""49"""," ""13"""," ""null"""," ""null"""," ""0"""
413901341," ""null"""," ""null"""," ""63"""," ""14"""," ""null"""," ""null"""," ""null"""
413902318," ""null"""," ""null"""," ""40"""," ""9"""," ""null"""," ""null"""," ""null"""
413902334," ""null"""," """""," ""65"""," ""14"""," ""1401"""," ""953"""," ""null"""
413904229," ""0"""," ""null"""," ""66"""," ""18"""," ""null"""," ""null"""," ""1.5"""
413906455," ""0"""," ""null"""," ""60"""," ""16"""," ""null"""," ""null"""," ""3.20000005"""
413906458," ""null"""," ""null"""," ""39"""," ""14"""," ""null"""," ""null"""," ""null"""
413906645," ""null"""," ""null"""," ""73"""," ""15"""," ""null"""," ""null"""," ""null"""
413906714," ""null"""," ""null"""," ""80"""," ""18"""," ""null"""," ""null"""," ""null"""
413907329," ""null"""," ""null"""," ""66"""," ""17"""," ""null"""," ""null"""," ""null"""
413961507," ""0"""," ""null"""," ""80"""," ""17"""," ""null"""," ""null"""," ""null"""
413967031,,,,,,,
413967031," ""0"""," ""null"""," ""80"""," ""17"""," ""null"""," ""null"""," ""null"""
413971126," ""null"""," """""," ""50"""," ""15"""," ""403"""," ""250"""," ""null"""
413974539," ""0"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""null"""
413975988," ""null"""," ""null"""," ""49"""," ""13"""," ""null"""," ""null"""," ""null"""
413979363," ""null"""," ""null"""," ""57"""," ""13"""," ""null"""," ""null"""," ""null"""
