股票,今日增幅,var1[0],var1[1],var1[2],是否最低标志,var7[0],var7[1],var7[2],ttm,near3,near5,near10,near,ttm_ind,pb,pb_ind,value,roe,roe_near3_ind,roe_near5_ind,roe_near_ind
拓普集团(601689),2.0474639367147573,-4.278807401207359,11.067054142245468,28.66616033592595,False,22.0789773141936,22.889259666753073,25.799671502531186,48.85,94.3%,94.7%,94.7%,94.7%,34.34,3.19,2.61,231.36 亿,5.52%,10.49%,6.86%,14.35%
中国中车(601766),-1.0416666666666579,32.25654129917456,53.712400456010954,60.74305448550953,True,39.74994598953197,48.21086984935826,51.18216100735932,15.66,4.1%,2.6%,17%,15.9%,37.22,1.44,2.63,1908.47 亿,9.5%,7.43%,2.77%,13.87%
中国国旅(601888),0.9950248756218919,3.6409667048222047,12.43725913866109,27.255059739887542,True,30.718461406440234,27.45321706526635,26.93318485170593,33.71,20.2%,39.7%,49.1%,49.1%,23.22,7.94,2.48,1545.77 亿,26.86%,6.23%,6.42%,10.28%
紫金矿业(601899),0.0,-11.06657878587248,-1.2003332356005671,15.273344866496245,False,42.13415662534163,42.53539593598929,42.77613952237789,29.12,70.7%,46.6%,66.4%,62.7%,37.9,2.62,2.94,1091.22 亿,9.81%,5.14%,2.82%,13.06%
方正证券(601901),0.9222661396574479,-4.090978699479848,10.098005838159168,25.091334789488513,False,45.97266315995777,44.966775466068114,45.671654064687594,49.2,44.8%,59%,56.4%,56.4%,38.46,1.63,1.91,630.58 亿,4.07%,10.51%,4.63%,10.65%
永辉超市(601933),3.064699205448349,30.77305140147226,36.610092754538414,64.89120566930805,False,67.20105352665072,67.39755519291352,71.66930234651734,43.43,24.8%,19.7%,36.5%,36.5%,24.07,4.24,2.03,869 亿,11.11%,4.08%,2.61%,10.03%
中科曙光(603019),1.99958342012081,2.407152702740092,11.226531020247933,27.476921004834168,False,67.43084376362319,66.75064108963457,68.49982285602793,87.07,60%,45.1%,45.1%,45.1%,50.79,11.05,4.51,440.88 亿,15.14%,6.77%,3.36%,15.06%
千禾味业(603027),5.765993265993255,47.884104986317624,58.951031100593156,79.70156678052717,False,84.27715438637945,86.51013038533783,90.92112611081967,57.7,87.8%,87.8%,87.8%,87.8%,38.19,7.72,4.05,117.07 亿,13.64%,9.8%,8.9%,14.05%
国检集团(603060),0.32452480296708525,29.468600912193637,65.36668475360753,74.76201548255776,False,25.73941337360488,32.32889392580226,36.85635274892397,37.4,78.6%,78.6%,78.6%,78.6%,21.29,5.35,2.12,66.65 亿,14.07%,11.11%,9.63%,14.25%
海天味业(603288),1.7655713585090702,14.802774967290503,35.73345581078917,61.675467274533474,False,29.756761835638805,31.32722181452333,36.71120045453757,55.27,68.2%,79.6%,79.6%,79.6%,38.19,18.6,4.05,2801.63 亿,33.68%,9.8%,8.9%,14.05%
科沃斯(603486),0.25380710659897937,-3.5368640938302747,-2.728267501572674,1.098840736316788,False,62.9544649184966,58.607843786262805,56.26360737065879,44.78,92.5%,92.5%,92.5%,92.5%,30.36,5.44,3.08,133.78 亿,6.12%,11.19%,10.25%,15.13%
绝味食品(603517),-1.2618296529968531,57.38621102173937,62.29779151540157,51.513749005173025,False,56.58757731979826,59.46465067493295,59.25420939937316,32.26,66.5%,66.5%,66.5%,66.5%,38.19,6.7,4.05,247.65 亿,24.63%,9.8%,8.9%,14.05%
珀莱雅(603605),1.7944957294452577,12.695380074307991,26.194315168916233,52.8321441349498,False,74.16042044985736,75.68146430325984,79.60967597231473,68.75,98.8%,98.8%,98.8%,98.8%,34.41,12.73,2.97,237.48 亿,20.59%,9.24%,10.05%,12.96%
亿嘉和(603666),0.5654281098545921,16.44851710821527,5.329874119173269,1.7956640863275197,False,71.62034486288475,67.98080853975101,66.34759055516051,45.19,98.2%,98.2%,98.2%,98.2%,45.28,9.1,4.12,98.63 亿,19.44%,10.93%,8.3%,17.16%
华友钴业(603799),4.7457627118644075,-1.95252269816379,3.2076865114339483,25.13516013527557,True,7.925824365132003,7.581182692473695,10.713847230163116,-153.62,-1%,-1%,-1%,-1%,33.5,5.77,2.73,447 亿,1.01%,4.38%,6.37%,8.8%
桃李面包(603866),0.25333947489635983,87.65092282932545,61.1961933498562,40.252561401251654,True,86.54165984249964,83.44443053447506,81.9747855291656,42.03,61%,48.5%,48.5%,48.5%,38.19,7.95,4.05,286.81 亿,20.23%,9.8%,8.9%,14.05%
晨光文具(603899),2.3219468631390914,17.369443605906667,33.65386439775321,63.13364861559205,False,16.89077941876424,16.88591273796375,21.692241284396747,42.85,59.1%,67.7%,67.7%,67.7%,47.54,10.71,3.92,421.64 亿,27.7%,7.66%,6.69%,7.78%
克来机电(603960),0.49806308799114474,14.206674256187569,21.933614016188386,29.75529413498461,False,69.06047916712606,69.1072831712713,69.75874219713506,68.83,71.8%,71.8%,71.8%,71.8%,45.28,11.7,4.12,63.84 亿,20.39%,10.93%,8.3%,17.16%
sh603983,-2.7500000000000036,20.8321342004962,34.86931025829915,29.60511066532453,False,75.67952051263522,79.10574294215445,77.31027289877188,,,,,,,,,,,,,
洛阳钼业(603993),1.1848341232227448,2.470039255835772,12.209194214002665,27.908689285377903,False,38.1437679449281,36.3556485220589,36.30318503160268,52.92,65.8%,51.9%,62.7%,62.7%,33.5,2.29,2.73,922.29 亿,3.44%,4.38%,6.37%,8.8%
