股票,今日增幅,var1[0],var1[1],var1[2],是否最低标志,var7[0],var7[1],var7[2],ttm,near3,near5,near10,near,ttm_ind,pb,pb_ind,value,roe,roe_near3_ind,roe_near5_ind,roe_near_ind
智飞生物(300122),2.2967910083075362,34.9200074342136,44.35889080220559,59.58215208315576,False,36.18636311175447,38.97362731461073,45.16159832631647,47.22,32.1%,20.7%,15.1%,15.1%,37.51,19.53,3.82,1004.8 亿,47.07%,11.83%,10.19%,15.21%
汇川技术(300124),2.7796842827728168,-4.001041680895042,-3.2788228114773403,11.957220610192792,False,55.48813109006876,51.840733439519816,54.99882950265578,50.91,80.4%,80.4%,82.5%,82.5%,41.27,7.69,3.99,518.64 亿,14.09%,8.65%,7.35%,18.26%
汤臣倍健(300146),1.0817307692307674,16.61254616239536,20.994190635589234,31.277813444279445,False,40.67354388213724,36.92839817394255,36.42888356455972,23.45,12.3%,7.9%,4.8%,4.8%,38.19,3.61,4.05,266.18 亿,19.14%,9.8%,8.9%,14.05%
卫宁健康(300253),6.683345246604722,65.23193787271748,80.45314269956688,85.35276712244845,False,89.40200057506222,92.80726792231985,93.4188309117354,127.69,100%,80.2%,79.3%,79.3%,56.75,13.91,5.74,489.89 亿,12.34%,8.99%,5.34%,16.98%
sz300285,1.494949494949499,-5.091155031558827,-6.895620691217431,3.613863030838047,False,51.02416390778781,45.336720566894904,43.979810117914724,,,,,,,,,,,,,
中颖电子(300327),-1.836969001148107,-2.6503232530893968,-2.4581018944676316,-2.8970343921123174,False,57.714931838001824,53.30472702088984,48.9111638575851,49.04,82.5%,53.5%,41.4%,41.4%,46.55,9.78,4.91,86.89 亿,20%,8.52%,7.05%,14.48%
我武生物(300357),2.0176830650646123,-4.906040108057709,2.3303858988428487,28.60047543984554,False,44.18839897543209,41.288680410900284,42.401413374745296,81.21,85%,87.8%,87.9%,87.9%,37.51,19.33,3.82,235.61 亿,26.44%,11.83%,10.19%,15.21%
绿盟科技(300369),1.5132408575031504,-6.898950215736164,-5.52556944714776,4.1369111419938775,False,68.46934516795106,65.2619349696231,64.8128986866919,91.53,97.7%,83.3%,83.3%,83.3%,56.75,6.19,5.74,192.75 亿,0.11%,8.99%,5.34%,16.98%
sz300383,-1.3410656034795252,23.532761832797746,38.19826387510511,45.37542658589024,False,71.45907842445018,75.38738592764051,76.33080786986032,,,,,,,,,,,,,
四方精创(300468),3.4203192297947846,-3.189454183685797,2.174614430102565,25.645127538272618,False,52.69055489301208,50.07587139734571,51.60694648938332,109.33,94.6%,81.7%,81.7%,81.7%,56.75,7.1,5.74,77.14 亿,6.57%,8.99%,5.34%,16.98%
中科创达(300496),6.321678321678316,14.974809599977448,22.880759418914437,60.17306544070237,False,71.11805545493817,71.04453569510824,77.2265822382201,128.76,60.7%,51%,51%,51%,50.79,15.97,4.51,305.99 亿,13.94%,6.77%,3.36%,15.06%
光莆股份(300632),3.4077555816686154,1.2144595739368924,0.8239325620589284,13.163318462208139,False,61.03099722987728,57.8844211227365,60.001078450396776,25.94,53%,53%,53%,53%,46.55,6.4,4.91,48.31 亿,32.2%,8.52%,7.05%,14.48%
华大基因(300676),2.5951355754683925,34.14020777120939,49.595208670692756,74.16124802649946,False,58.04212871816088,63.15995140627868,69.81873834175593,104.8,90.7%,90.7%,90.7%,90.7%,37.51,7.91,3.82,352.73 亿,7.69%,11.83%,10.19%,15.21%
sz300759,1.0522907560304333,7.886375159126231,40.42965260851568,67.0995799447631,False,65.30277829564636,69.34616914189,74.02328590071843,,,,,,,,,,,,,
迈瑞医疗(300760),7.828126929250528,20.938300496473488,12.504319688191629,45.705921474048836,False,78.13857778916827,76.93055099770028,83.7924742078954,70.88,97.6%,97.6%,97.6%,97.6%,48.1,18.09,5.99,3184.99 亿,24.56%,11.43%,10.15%,16.39%
sz300783,5.452273082330877,8.391627981823888,16.79909137403257,40.900332452118846,False,58.999458864328034,58.55843145607638,64.00576263796663,,,,,,,,,,,,,
浦发银行(600000),0.1811594202898673,13.362790204791168,20.36061081579939,27.96291564253329,False,33.61092889189688,33.44590956185877,33.670784603512026,5.32,6.5%,4.1%,22.5%,11.7%,7,0.6,0.77,3246.34 亿,12.94%,13.85%,12.96%,17.82%
上海机场(600009),-0.14534883720929406,1.0605070668780314,44.14288096516596,61.631835582326175,True,33.584474476895,38.98740507856867,41.94885510039981,26.03,49.9%,66.8%,77.9%,67.7%,23.14,4.27,1.92,1323.82 亿,16.7%,14.79%,11.88%,17.61%
中信证券(600030),1.0212418300653594,11.080448679096463,26.6442830341729,43.861522429874384,False,64.96132730335792,66.5887366805222,69.43085394861184,23.79,76.3%,79.3%,75.4%,55.4%,38.46,1.87,1.91,2996.51 亿,8.61%,10.51%,4.63%,10.65%
三一重工(600031),-2.428722280887016,64.79067279967418,82.21405184980125,77.45274130947536,False,81.41958051909691,87.49293727111845,85.02061325730328,14.98,39.6%,31%,36.2%,34.5%,34.88,3.68,2.6,1557.17 亿,29.57%,5.48%,3.84%,12.89%
招商银行(600036),-0.37410071942446776,10.380351659092156,28.998747368190408,34.30644329768245,False,14.709207785784631,15.01444975290402,14.634741892908792,9.66,31.9%,59.4%,66.1%,42.1%,7,1.46,0.77,8731.11 亿,16.67%,13.85%,12.96%,17.82%
保利地产(600048),-0.47932893948473243,73.88848444997518,84.52327651978015,87.85485889083805,False,73.13524854925166,79.89361018874102,82.95174243723213,8.95,53.3%,60.8%,46.8%,36.8%,17.61,1.54,1.93,1982.02 亿,19.64%,7.67%,8.13%,7.61%
上汽集团(600104),1.2931034482758652,7.880973796018168,25.345866833239057,47.323407235724034,True,51.71995680559872,53.71972111893235,57.29112120890883,9.43,52.4%,62.5%,63.3%,32.6%,34.34,1.12,2.61,2745.61 亿,11.34%,10.49%,6.86%,14.35%
中青旅(600138),0.6673021925643497,3.4856345666474624,16.213238125756845,29.364071195030846,False,33.884531897432765,33.25061577928653,33.5937803202851,12.83,1.2%,0.7%,0.4%,0.2%,23.22,1.16,2.48,76.44 亿,10.19%,6.23%,6.42%,10.28%
天坛生物(600161),1.2857142857142938,17.434802987825265,27.106463027540883,45.030185198604684,False,61.58125716809555,61.84071627147099,63.45778050265633,63.92,88.4%,69.7%,84.2%,60%,37.51,9.77,3.82,370.58 亿,19.38%,11.83%,10.19%,15.21%
生益科技(600183),-0.17678255745431695,32.128669306853766,60.49493698097996,58.370695442584406,False,80.07611135005544,87.12963627568212,85.38285850684966,62.56,100%,100%,99.7%,90.5%,46.55,9.27,4.91,771.17 亿,18.44%,8.52%,7.05%,14.48%
复星医药(600196),0.47101449275361956,44.5596771446574,37.406285158582165,33.79056402348792,False,63.05352791489367,63.80333977051895,65.18847868245527,26.54,60.4%,67.5%,78.9%,60.6%,37.51,2.32,3.82,710.69 亿,9.25%,11.83%,10.19%,15.21%
生物股份(600201),1.2151215121512131,12.109130963745628,10.68593248253896,20.1479131571856,False,73.41870913181154,71.25122547908693,71.75073528745214,78.69,98.4%,99%,99.5%,85.6%,24.78,5.29,2.41,253.29 亿,5.45%,10.05%,11.04%,15.4%
首旅酒店(600258),0.23668639053256038,0.775678159207132,19.808828020590227,33.56731057985658,True,27.664011299166113,28.5773910176783,29.405629006403842,21.6,37.7%,24.7%,13.8%,12.3%,23.22,1.91,2.48,167.32 亿,9.04%,6.23%,6.42%,10.28%
恒瑞医药(600276),3.6854460093896724,-2.0839444756020526,10.236217118140601,51.87785431114045,False,44.5424319979989,41.226969772817455,48.72409727154546,79.92,76.9%,86.1%,93%,94.1%,37.51,16.88,3.82,3907.11 亿,23.48%,11.83%,10.19%,15.21%
安琪酵母(600298),2.0325203252032567,24.311229127631464,17.773461382614755,44.67076741753573,False,62.553934759755045,62.64058596407812,66.15578014987544,29.25,48.1%,31.5%,28.7%,26.8%,38.19,5.17,4.05,248.21 亿,18.02%,9.8%,8.9%,14.05%
万华化学(600309),-1.6746411483253516,3.3090317827638955,44.91655111425587,51.21029727910445,False,16.647965744173298,24.832360892027154,26.27797233390339,16.32,90.1%,59.5%,57%,36.1%,34.41,3.84,2.97,1548.52 亿,22.79%,9.24%,10.05%,12.96%
宝光股份(600379),1.675977653631282,19.237166771342345,53.21311926002082,71.60014219229711,False,50.5845507299328,54.5367769495876,59.69881035579907,45.02,7.7%,5.1%,2.8%,10.4%,34.06,3.33,2.49,18.03 亿,7.62%,6.88%,4.16%,14.61%
健康元(600380),5.620805369127516,54.00226612697736,53.798933670002015,73.28139823352126,False,77.14230125741194,78.94360860254844,85.15686283594768,29.27,83.3%,54.5%,48.4%,33.4%,37.51,2.38,3.82,244.93 亿,8.14%,11.83%,10.19%,15.21%
国电南瑞(600406),-1.3634226610249136,53.454175489778095,73.12130288614932,71.03500913891264,True,56.95787896126502,67.87335751374529,72.60009023974459,24.29,59.1%,46.4%,34.6%,21.9%,34.06,3.43,2.49,969.68 亿,12.99%,6.88%,4.16%,14.61%
涪陵电力(600452),-0.6400000000000053,30.902082339784812,51.83139451418751,58.05224076702365,False,68.91114675220086,75.6324023370348,78.71277473555422,12.92,14%,9.2%,5.7%,3.7%,19.95,3.37,1.9,58.42 亿,30.75%,6.55%,3.54%,5.91%
方大炭素(600516),1.3346043851286995,7.376910714827687,14.45556034390404,26.830591020041368,False,39.631656656095515,38.362327326990645,39.059063062861064,9.63,55.6%,38.6%,19.4%,13.5%,45.39,1.94,3.99,288.98 亿,14.48%,7.05%,6.71%,12.43%
华海药业(600521),1.8562589243217371,50.332218511696794,38.74056753713393,44.677916583244894,False,72.88574520307976,72.79222060251087,74.89080197476619,77.76,76%,84.2%,91.1%,94.3%,37.51,5.09,3.82,282.99 亿,5.09%,11.83%,10.19%,15.21%
中国软件(600536),2.6843277458680013,30.922058064402705,13.19775178756683,10.074840018412488,False,75.07097244112634,68.84850378517436,67.15374950012753,412.55,90.9%,75.7%,83.9%,90.4%,56.75,22.5,5.74,433.24 亿,5.05%,8.99%,5.34%,16.98%
山东黄金(600547),0.6697728596388959,-2.3073178707923603,-1.5717566194810502,9.640631224838955,False,59.61141747897515,55.500183820718426,53.97703336935413,101.79,81.8%,88%,93.1%,91.1%,37.9,4.82,2.94,1071.54 亿,4.19%,5.14%,2.82%,13.06%
康缘药业(600557),0.0,10.721742055074216,11.368161140711265,14.952996381332042,True,12.506695905949023,10.665529571060828,9.560829770127913,16.79,8.9%,5.8%,3.1%,3.3%,37.51,2.15,3.82,81.82 亿,13.13%,11.83%,10.19%,15.21%
恒生电子(600570),5.673469387755104,15.227649213574466,17.18572840859082,40.253398441935246,False,71.11733103650954,70.34163149861806,76.14350641882774,76.42,59.2%,47.5%,70.4%,75.2%,56.75,21.83,5.74,831.74 亿,39.83%,8.99%,5.34%,16.98%
海螺水泥(600585),-2.17211076106782,68.20848043060647,88.7140188622547,84.06558675594539,False,80.21161557436373,88.03362045313634,86.20283611966194,9.5,60.5%,45.5%,42.3%,32.7%,20.6,2.45,2.33,3126.59 亿,27.39%,8.99%,11.2%,10.89%
用友网络(600588),8.117408906882586,58.15598286958621,70.7579855078649,83.45732822722414,False,87.96767183796501,90.40343885383187,92.75644030910422,147.24,94.6%,87.6%,93.4%,96.3%,56.75,21.45,5.74,1337.33 亿,26.18%,8.99%,5.34%,16.98%
青岛啤酒(600600),-0.23094688221707696,3.957178036998357,22.690397573250706,32.170756565099566,False,11.85239781877278,11.880669460494417,11.513017060912038,30.59,9.1%,36.8%,56.7%,37.9%,34.07,2.93,4.08,583.62 亿,9.43%,10.53%,10.76%,12.76%
福耀玻璃(600660),-0.8864499788940516,-5.709318176096303,5.589407172052148,8.231424442336802,False,46.06669431404325,42.78564765638714,38.77818471033715,18.38,62.5%,74.9%,85.3%,52.3%,34.2,2.82,3.09,589.02 亿,14.43%,6.91%,7.13%,10.26%
东阳光(600673),-0.9546539379474948,9.420832052121085,12.045982042656021,13.365205933267575,False,10.901687732919395,11.614183371458983,10.480705144826636,23.84,31.9%,20.9%,13.7%,14%,33.5,3.66,2.73,250.15 亿,14.77%,4.38%,6.37%,8.8%
海尔智家(600690),0.0,-0.7040851860665356,28.25028018872294,51.08714157916174,False,23.990109985808054,24.96224780966665,25.545530503981805,12.77,18.1%,26.5%,45.7%,20.9%,30.36,2.59,3.08,1160.64 亿,21.9%,11.19%,10.25%,15.13%
三安光电(600703),0.9094503756425482,7.277597966351607,-0.7301613850502804,-1.675450303622938,False,62.88440769759072,57.162923612877215,54.4761807695106,74.93,98.9%,99.3%,90.4%,87.8%,46.55,4.82,4.91,1040.81 亿,5.84%,8.52%,7.05%,14.48%
佳都科技(600728),8.751229105211412,15.252624649973512,3.558025727141967,23.275712734894086,False,69.03016789687791,64.11040843043445,69.71624505826067,25.02,13%,8.5%,15.2%,8%,56.75,3.87,5.74,184.79 亿,30.56%,8.99%,5.34%,16.98%
